Date,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file,Barcelona Goals,Real Madrid Goals,Barcelona Scorers Clean,Real Madrid Scorers Clean
1943-01-10,Camp Nou,,,Draw,,,,,La Liga,la_liga,5.0,5.0,"Martín, Martín, Escolà, Mas, Mas","Alonso, Alday, Alday, Botella, II"
1944-01-02,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Mas,
1944-04-09,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Escolà,Alsúa
1944-11-12,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,1.0,,Moleiro
1945-03-25,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,5.0,0.0,"César, César, Bravo, Escolà, III",
1945-11-25,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,2.0,3.0,"Martín, III","Barinaga, Pruden, Belmar"
1946-03-03,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,César,
1946-12-01,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Seguer,Molowny
1947-03-30,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,2.0,"Bravo, Navarro, Navarro","Arsuaga, Arsuaga"
1947-10-12,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,,Barinaga
1948-01-25,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,4.0,2.0,"Seguer, Basora, Basora, César","Gallardo, Yunta"
1948-09-19,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Florencio, Basora",Barinaga
1949-01-09,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,"César, César, Basora",Pahiño
1949-09-18,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,6.0,II,"Pahiño, Pahiño, Pahiño, Cabrera, Macala, Macala"
1950-01-15,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,2.0,3.0,"Basora, César","Pahiño, Verdú, Cabrera"
1950-09-24,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,7.0,2.0,"Nicolau, Nicolau, César, Aurelio, Aurelio, III, Basora","Molowny, González"
1951-01-14,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,4.0,Canal,"Narro, Narro, Narro, Pahiño"
1951-11-11,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,5.0,Basora,"Molowny, Cabrera, Pahiño, Pahiño, Olsen"
1952-03-02,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,4.0,2.0,"Soler, César, César, César","Olsen, Arsuaga"
1952-11-23,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Manchón,"Arsuaga, Arsuaga"
1953-04-05,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Moreno,
1953-10-25,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,5.0,,"Stéfano, Stéfano, Olsen, Olsen, Molowny"
1954-02-21,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,5.0,1.0,"Tejada, Tejada, César, Moreno, Manchón",Stéfano
1954-11-21,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,3.0,,"Rial, Joseito"
1955-03-06,Camp Nou,,,Draw,,,,,La Liga,la_liga,2.0,2.0,"Basora, Moll","Gento, Gento"
1955-11-13,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Areta,"Rial, Marquitos"
1956-03-18,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"Villaverde, Villaverde",
1956-11-11,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Suárez,
1957-03-03,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,1.0,,Joseito
1957-10-13,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,3.0,,"Kopa, Rial, Stéfano"
1958-02-02,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Marsal, Rial"
1958-10-26,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,4.0,0.0,"Evaristo, Evaristo, Evaristo, Tejada",
1959-02-15,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,1.0,,Herrera
1959-11-29,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Mateos, Stéfano"
1960-03-20,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,"Kocsis, Martínez, Villaverde",Stéfano
1960-12-04,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,3.0,5.0,"Martínez, Villaverde, Kubala","Stéfano, Stéfano, Sol, Gento, Gento"
1961-03-26,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,2.0,3.0,"Suárez, Kubala","Sol, Stéfano, Puskás"
1961-09-30,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Puskás, Sol"
1962-01-21,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,"Evaristo, Evaristo, Kocsis",Ruiz
1962-09-30,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Stéfano, Stéfano"
1963-01-27,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,5.0,Ré,"Stéfano, Gento"
1963-12-15,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,4.0,,Stéfano
1964-03-30,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Zaldúa,"Gento, Puskás"
1964-11-08,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,4.0,Ré,"Amancio, Amancio, Amancio, Serena"
1965-02-28,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Ré,"Pirri, Serena"
1965-12-19,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,"Fusté, Fusté, Zaldúa",Ruiz
1966-03-27,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Rifé, Zaballa",Gento
1966-11-20,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,1.0,,Veloso
1967-03-19,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Fusté, Fusté",Amancio
1967-12-10,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Zaldúa,
1968-04-09,Camp Nou,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Zaldúa,Pirri
1968-11-16,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Zaldúa,"Pirri, Luis"
1969-03-09,Camp Nou,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Zaldúa,
1969-09-14,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,3.0,3.0,"Bustillo, Bustillo, Rexach","Fleitas, Fleitas, Gento"
1969-12-28,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Gallego,
1970-10-25,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Zabalza,
1971-02-14,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,0.0,1.0,,Grande
1971-11-27,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Asensi,Grosso
1972-04-03,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Asensi,
1972-10-01,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Barrios,
1973-02-24,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
1973-10-07,Camp Nou,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
1974-02-16,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,5.0,0.0,"Asensi, Asensi, Cruyff, Carlos, Sotil",
1975-01-04,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,1.0,,Martínez
1975-05-11,Camp Nou,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
1975-12-27,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Neeskens, Rexach",Pirri
1976-04-30,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"Rexach, Heredia",
1976-09-19,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,"Marcial, Cruyff, Heredia",Pirri
1977-01-30,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Cruyff,
1977-12-04,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,2.0,3.0,,"Jensen, Santillana, Stielike"
1978-04-05,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,4.0,,"Jensen, Jensen, Juanito, Santillana"
1978-09-23,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,3.0,Neeskens,"Santillana, Santillana, Jensen"
1979-02-17,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"Krankl, Asensi",
1979-09-23,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,2.0,3.0,"Landáburu, Krankl","Santillana, Juanito, Cunningham"
1980-02-10,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Hernández, Santillana"
1980-11-30,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Schuster, Quini",Juanito
1981-03-29,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,3.0,,"Santillana, Stielike"
1981-12-20,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,Alexanko,Juanito
1982-04-18,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,3.0,Quini,"Cortés, Isidro"
1982-11-27,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"Vigo, Quini",
1983-03-26,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Maradona, Alonso",Juanito
1983-10-22,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,,Santillana
1984-02-25,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Maradona,"Juanito, Santillana"
1984-09-02,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,3.0,0.0,"Archibald, Calderé",
1984-12-30,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,2.0,"Gerardo, Migueli, Vigo","Sanchís, Butragueño"
1985-11-09,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"Marcos, Calderé",
1986-03-08,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,3.0,Amarilla,"Maceda, Valdano, Butragueño"
1986-10-08,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Pedraza,
1987-01-31,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,2.0,"Lineker, Lineker, Lineker",Valdano
1987-04-12,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
1987-05-23,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,Lineker,Sánchez
1988-01-02,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,,
1988-04-30,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"Carrasco, Lineker",
1988-10-22,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,2.0,3.0,"Bakero, Carrasco","Sánchez, Aldana, Gordillo"
1989-04-01,Camp Nou,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
1989-10-07,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,Salinas,
1990-02-15,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,2.0,3.0,"Salinas, Salinas","Míchel, Butragueño"
1991-01-19,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,Laudrup,Butragueño
1991-06-08,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,1.0,,Aldana
1991-10-19,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,,Prosinečki
1992-03-07,Camp Nou,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Koeman,Hierro
1992-09-05,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Bakero, Stoichkov",
1993-01-29,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Amor,Zamorano
1994-01-08,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,5.0,0.0,"Romário, Romário, Romário, Koeman, Iglesias",
1994-05-06,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Amor,
1995-01-06,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,5.0,,"Zamorano, Zamorano, Zamorano, Enrique, Amavisca"
1995-05-26,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Nadal,
1995-09-30,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Roger,Raúl
1996-02-09,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,0.0,"Kodro, Kodro, Figo",
1996-12-07,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Šuker, Mijatović"
1997-05-10,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Ronaldo,
1997-11-01,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,3.0,2.0,"Rivaldo, Enrique, Giovanni","Raúl, Šuker"
1998-03-07,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,0.0,"Anderson, Figo, Giovanni",
1998-09-19,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,2.0,2.0,"Kluivert, Anderson","Raúl, Raúl"
1999-02-14,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,0.0,"Enrique, Enrique, Rivaldo",
1999-10-13,Camp Nou,,,Draw,,,,,La Liga,la_liga,2.0,2.0,"Rivaldo, Figo","Raúl, Raúl"
2000-02-26,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,3.0,,"Carlos, Anelka, Morientes"
2000-10-21,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"Enrique, Simão",
2001-03-03,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,2.0,2.0,"Rivaldo, Rivaldo","Raúl, Raúl"
2001-11-04,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Morientes, Figo"
2002-03-16,Camp Nou,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Xavi,Zidane
2002-11-23,Camp Nou,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
2003-04-19,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Enrique,Ronaldo
2003-12-06,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Kluivert,"Carlos, Ronaldo"
2004-04-25,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Kluivert, Xavi",Solari
2004-11-20,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,0.0,"o, Bronckhorst",
2005-04-10,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,2.0,4.0,"o, Ronaldinho","Zidane, Ronaldo, Raúl, Owen"
2005-11-19,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,3.0,0.0,"o, Ronaldinho, Ronaldinho",
2006-04-01,Camp Nou,,,Draw,,,,,La Liga,la_liga,1.0,1.0,,Ronaldo
2006-10-22,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Raúl, Nistelrooy"
2007-03-10,Camp Nou,,,Draw,,,,,La Liga,la_liga,3.0,3.0,"Messi, Messi, Messi",Ramos
2007-12-23,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,0.0,1.0,,Baptista
2008-05-07,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,4.0,Henry,"Raúl, Robben, Higuaín"
2008-12-13,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"o, Messi",
2009-05-02,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,6.0,2.0,"Henry, Henry, Puyol, Messi, Messi, Piqué","Higuaín, Ramos"
2009-11-29,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Ibrahimović,
2010-04-10,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,2.0,0.0,"Messi, Pedro",
2010-11-29,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,5.0,0.0,"Xavi, Pedro, Villa, Villa, Jeffrén",
2011-04-16,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,1.0,1.0,,
2011-12-10,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,"Sánchez, Xavi, Fàbregas",Benzema
