Date,Year,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League
1969-09-14,1969,Santiago Bernabéu Stadium,3,3,Draw,,,"Bustillo, Bustillo, Rexach","Fleitas, Fleitas, Gento",La Liga
1969-12-28,1969,Camp Nou,1,0,Barcelona,,,Gallego,,La Liga
1970-10-25,1970,Santiago Bernabéu Stadium,1,0,Barcelona,,,Zabalza,,La Liga
1971-02-14,1971,Camp Nou,0,1,Real Madrid,,,,Grande,La Liga
1971-11-27,1971,Santiago Bernabéu Stadium,1,1,Draw,,,Asensi,Grosso,La Liga
1972-04-03,1972,Camp Nou,1,0,Barcelona,,,Asensi,,La Liga
1972-10-01,1972,Camp Nou,1,0,Barcelona,,,Barrios,,La Liga
1973-02-24,1973,Santiago Bernabéu Stadium,0,0,Draw,,,,,La Liga
1973-10-07,1973,Camp Nou,0,0,Draw,,,,,La Liga
1974-02-16,1974,Santiago Bernabéu Stadium,5,0,Barcelona,,,"Asensi, Asensi, Cruyff, Carlos, Sotil",,La Liga
1975-01-04,1975,Santiago Bernabéu Stadium,0,1,Real Madrid,,,,Martínez,La Liga
1975-05-11,1975,Camp Nou,0,0,Draw,,,,,La Liga
1975-12-27,1975,Camp Nou,2,1,Barcelona,,,"Neeskens, Rexach",Pirri,La Liga
1976-04-30,1976,Santiago Bernabéu Stadium,2,0,Barcelona,,,"Rexach, Heredia",,La Liga
1976-09-19,1976,Camp Nou,3,1,Barcelona,,,"Marcial, Cruyff, Heredia",Pirri,La Liga
1977-01-30,1977,Santiago Bernabéu Stadium,1,1,Draw,,,Cruyff,Pirri,La Liga
1977-12-04,1977,Camp Nou,2,3,Real Madrid,,,"Rexach, Rexach","Jensen, Santillana, Stielike",La Liga
1978-04-05,1978,Santiago Bernabéu Stadium,0,4,Real Madrid,,,,"Jensen, Jensen, Juanito, Santillana",La Liga
1978-09-23,1978,Santiago Bernabéu Stadium,1,3,Real Madrid,,,Neeskens,"Santillana, Santillana, Jensen",La Liga
1979-02-17,1979,Camp Nou,2,0,Barcelona,,,"Krankl, Asensi",,La Liga
1979-09-23,1979,Santiago Bernabéu Stadium,2,3,Real Madrid,,,"Landáburu, Krankl","Santillana, Juanito, Cunningham",La Liga
1980-02-10,1980,Camp Nou,0,2,Real Madrid,,,,"Hernández, Santillana",La Liga
1980-11-30,1980,Camp Nou,2,1,Barcelona,,,"Schuster, Quini",Juanito,La Liga
1981-03-29,1981,Santiago Bernabéu Stadium,0,3,Real Madrid,,,,"Juanito, Santillana, Stielike",La Liga
1981-12-20,1981,Camp Nou,3,1,Barcelona,,,"Alexanko, Quini, Quini",Juanito,La Liga
1982-04-18,1982,Santiago Bernabéu Stadium,1,3,Real Madrid,,,Quini,"Cortés, Stielike, Isidro",La Liga
1982-11-27,1982,Santiago Bernabéu Stadium,2,0,Barcelona,,,"Vigo, Quini",,La Liga
1983-03-26,1983,Camp Nou,2,1,Barcelona,,,"Maradona, Alonso",Juanito,La Liga
1983-10-22,1983,Camp Nou,1,2,Real Madrid,,,Quini,"Juanito, Santillana",La Liga
