Date,Venue,League,Winner,Scorer,Team,Real_Madrid_Own_Goal,Barcelona_Own_Goal
04-06-1983,La Romareda Stadium,Copa Del Rey,Barcelona,Santillana,Real Madrid,,
26-06-1983,Santiago Bernabeu Stadium,Copa De La Liga,Draw,Carrasco,Barcelona,,
26-06-1983,Santiago Bernabeu Stadium,Copa De La Liga,Draw,Maradona,Barcelona,,
26-06-1983,Santiago Bernabeu Stadium,Copa De La Liga,Draw,Bosque,Real Madrid,,
26-06-1983,Santiago Bernabeu Stadium,Copa De La Liga,Draw,Juan Gomez,Real Madrid,,
29-06-1983,Camp Nou,Copa De La Liga,Barcelona,Alexanko,Barcelona,,
29-06-1983,Camp Nou,Copa De La Liga,Barcelona,Maradona,Barcelona,,
29-06-1983,Camp Nou,Copa De La Liga,Barcelona,Santillana,Real Madrid,,
22-10-1983,Camp Nou,La Liga,Real Madrid,Quini,Barcelona,,
22-10-1983,Camp Nou,La Liga,Real Madrid,Juanito,Real Madrid,,
22-10-1983,Camp Nou,La Liga,Real Madrid,Santillana,Real Madrid,,
25-02-1984,Santiago Bernabeu Stadium,La Liga,Real Madrid,Maradona,Barcelona,,
25-02-1984,Santiago Bernabeu Stadium,La Liga,Real Madrid,Juanito,Real Madrid,,
25-02-1984,Santiago Bernabeu Stadium,La Liga,Real Madrid,Santillana,Real Madrid,,
02-09-1984,Santiago Bernabeu Stadium,La Liga,Barcelona,Archibald,Barcelona,,
02-09-1984,Santiago Bernabeu Stadium,La Liga,Barcelona,Caldere,Barcelona,,
02-09-1984,Santiago Bernabeu Stadium,La Liga,Barcelona,,Real Madrid,Angel,
30-12-1984,Camp Nou,La Liga,Barcelona,Gerardo,Barcelona,,
30-12-1984,Camp Nou,La Liga,Barcelona,Migueli,Barcelona,,
30-12-1984,Camp Nou,La Liga,Barcelona,Vigo,Barcelona,,
30-12-1984,Camp Nou,La Liga,Barcelona,Sanchis,Real Madrid,,
30-12-1984,Camp Nou,La Liga,Barcelona,Butragueno,Real Madrid,,
11-05-1985,Camp Nou,Copa De La Liga,Draw,Clos,Barcelona,,
11-05-1985,Camp Nou,Copa De La Liga,Draw,Marcos,Barcelona,,
11-05-1985,Camp Nou,Copa De La Liga,Draw,Valdano,Real Madrid,,
11-05-1985,Camp Nou,Copa De La Liga,Draw,Juanito,Real Madrid,,
18-05-1985,Santiago Bernabeu Stadium,Copa De La Liga,Draw,Moratalla,Barcelona,,
18-05-1985,Santiago Bernabeu Stadium,Copa De La Liga,Draw,Valdano,Real Madrid,,
09-11-1985,Camp Nou,La Liga,Barcelona,Marcos,Barcelona,,
09-11-1985,Camp Nou,La Liga,Barcelona,Caldere,Barcelona,,
08-03-1986,Santiago Bernabeu Stadium,La Liga,Real Madrid,Amarilla,Barcelona,,
08-03-1986,Santiago Bernabeu Stadium,La Liga,Real Madrid,Maceda,Real Madrid,,
08-03-1986,Santiago Bernabeu Stadium,La Liga,Real Madrid,Valdano,Real Madrid,,
08-03-1986,Santiago Bernabeu Stadium,La Liga,Real Madrid,Butragueno,Real Madrid,,
11-05-1986,Camp Nou,Copa De La Liga,Draw,Clos,Barcelona,,
11-05-1986,Camp Nou,Copa De La Liga,Draw,Archibald,Barcelona,,
11-05-1986,Camp Nou,Copa De La Liga,Draw,Pardeza,Real Madrid,,
11-05-1986,Camp Nou,Copa De La Liga,Draw,Cholo,Real Madrid,,
18-05-1986,Santiago Bernabeu Stadium,Copa De La Liga,Barcelona,Amarilla,Barcelona,,
18-05-1986,Santiago Bernabeu Stadium,Copa De La Liga,Barcelona,Amarilla,Barcelona,,
18-05-1986,Santiago Bernabeu Stadium,Copa De La Liga,Barcelona,Urbano,Barcelona,,
18-05-1986,Santiago Bernabeu Stadium,Copa De La Liga,Barcelona,Esteban,Barcelona,,
08-10-1986,Santiago Bernabeu Stadium,La Liga,Draw,Pedraza,Barcelona,,
08-10-1986,Santiago Bernabeu Stadium,La Liga,Draw,Hugo Sanchez,Real Madrid,,
31-01-1987,Camp Nou,La Liga,Barcelona,Lineker,Barcelona,,
31-01-1987,Camp Nou,La Liga,Barcelona,Lineker,Barcelona,,
31-01-1987,Camp Nou,La Liga,Barcelona,Lineker,Barcelona,,
31-01-1987,Camp Nou,La Liga,Barcelona,Valdano,Real Madrid,,
31-01-1987,Camp Nou,La Liga,Barcelona,Hugo Sanchez,Real Madrid,,
12-04-1987,Santiago Bernabeu Stadium,La Liga,Draw,No Goals,NA,,
23-05-1987,Camp Nou,La Liga,Barcelona,Lineker,Barcelona,,
23-05-1987,Camp Nou,La Liga,Barcelona,Roberto,Barcelona,,
23-05-1987,Camp Nou,La Liga,Barcelona,Hugo Sanchez,Real Madrid,,
02-01-1988,Santiago Bernabeu Stadium,La Liga,Real Madrid,Schuster,Barcelona,,
02-01-1988,Santiago Bernabeu Stadium,La Liga,Real Madrid,Hugo Sanchez,Real Madrid,,
02-01-1988,Santiago Bernabeu Stadium,La Liga,Real Madrid,Hugo Sanchez,Real Madrid,,
30-04-1988,Camp Nou,La Liga,Barcelona,Carrasco,Barcelona,,
30-04-1988,Camp Nou,La Liga,Barcelona,Lineker,Barcelona,,
21-09-1988,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Michel,Real Madrid,,
21-09-1988,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Hugo Sanchez,Real Madrid,,
29-09-1988,Camp Nou,Supercopa,Barcelona,Bakero,Barcelona,,
29-09-1988,Camp Nou,Supercopa,Barcelona,Bakero,Barcelona,,
29-09-1988,Camp Nou,Supercopa,Barcelona,Butragueno,Real Madrid,,
22-10-1988,Santiago Bernabeu Stadium,La Liga,Real Madrid,Bakero,Barcelona,,
22-10-1988,Santiago Bernabeu Stadium,La Liga,Real Madrid,Carrasco,Barcelona,,
22-10-1988,Santiago Bernabeu Stadium,La Liga,Real Madrid,Hugo Sanchez,Real Madrid,,
22-10-1988,Santiago Bernabeu Stadium,La Liga,Real Madrid,Aldana,Real Madrid,,
22-10-1988,Santiago Bernabeu Stadium,La Liga,Real Madrid,Gordillo,Real Madrid,,
01-04-1989,Camp Nou,La Liga,Draw,No Goals,NA,,
07-10-1989,Camp Nou,La Liga,Barcelona,Salinas,Barcelona,,
07-10-1989,Camp Nou,La Liga,Barcelona,Koeman,Barcelona,,
07-10-1989,Camp Nou,La Liga,Barcelona,Koeman,Barcelona,,
07-10-1989,Camp Nou,La Liga,Barcelona,Hugo Sanchez,Real Madrid,,
15-02-1990,Santiago Bernabeu Stadium,La Liga,Real Madrid,Salinas,Barcelona,,
15-02-1990,Santiago Bernabeu Stadium,La Liga,Real Madrid,Salinas,Barcelona,,
15-02-1990,Santiago Bernabeu Stadium,La Liga,Real Madrid,Michel,Real Madrid,,
15-02-1990,Santiago Bernabeu Stadium,La Liga,Real Madrid,Butragueno,Real Madrid,,
15-02-1990,Santiago Bernabeu Stadium,La Liga,Real Madrid,Hugo Sanchez,Real Madrid,,
04-04-1990,Mestalla Stadium,Copa Del Rey,Barcelona,Amor,Barcelona,,
04-04-1990,Mestalla Stadium,Copa Del Rey,Barcelona,Salinas,Barcelona,,
05-12-1990,Camp Nou,Supercopa,Real Madrid,Michel,Real Madrid,,
12-12-1990,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Goikoetxea,Barcelona,,
12-12-1990,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Butragueno,Real Madrid,,
12-12-1990,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Butragueno,Real Madrid,,
12-12-1990,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Hugo Sanchez,Real Madrid,,
12-12-1990,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Aragon,Real Madrid,,
19-01-1991,Camp Nou,La Liga,Barcelona,Laudrup,Barcelona,,
19-01-1991,Camp Nou,La Liga,Barcelona,Butragueno,Real Madrid,,
19-01-1991,Camp Nou,La Liga,Barcelona,,Real Madrid,Spasic,
08-06-1991,Santiago Bernabeu Stadium,La Liga,Real Madrid,Aldana,Real Madrid,,
19-10-1991,Santiago Bernabeu Stadium,La Liga,Draw,Koeman,Barcelona,,
19-10-1991,Santiago Bernabeu Stadium,La Liga,Draw,Prosinecki,Real Madrid,,
07-03-1992,Camp Nou,La Liga,Draw,Koeman,Barcelona,,
07-03-1992,Camp Nou,La Liga,Draw,Hierro,Real Madrid,,
05-09-1992,Camp Nou,La Liga,Barcelona,Bakero,Barcelona,,
05-09-1992,Camp Nou,La Liga,Barcelona,Stoichkov,Barcelona,,
05-09-1992,Camp Nou,La Liga,Barcelona,Michel,Real Madrid,,
29-01-1993,Santiago Bernabeu Stadium,La Liga,Real Madrid,Amor,Barcelona,,
29-01-1993,Santiago Bernabeu Stadium,La Liga,Real Madrid,Zamorano,Real Madrid,,
29-01-1993,Santiago Bernabeu Stadium,La Liga,Real Madrid,Michel,Real Madrid,,
08-06-1993,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Bakero,Barcelona,,
08-06-1993,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Zamorano,Real Madrid,,
15-06-1993,Camp Nou,Copa Del Rey,Real Madrid,Laudrup,Barcelona,,
15-06-1993,Camp Nou,Copa Del Rey,Real Madrid,Zamorano,Real Madrid,,
15-06-1993,Camp Nou,Copa Del Rey,Real Madrid,Michel,Real Madrid,,
02-12-1993,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Stoichkov,Barcelona,,
02-12-1993,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Alfonso,Real Madrid,,
02-12-1993,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Alfonso,Real Madrid,,
02-12-1993,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Zamorano,Real Madrid,,
16-12-1993,Camp Nou,Supercopa,Draw,Bakero,Barcelona,,
16-12-1993,Camp Nou,Supercopa,Draw,Zamorano,Real Madrid,,
08-01-1994,Camp Nou,La Liga,Barcelona,Romario,Barcelona,,
08-01-1994,Camp Nou,La Liga,Barcelona,Romario,Barcelona,,
08-01-1994,Camp Nou,La Liga,Barcelona,Romario,Barcelona,,
08-01-1994,Camp Nou,La Liga,Barcelona,Koeman,Barcelona,,
08-01-1994,Camp Nou,La Liga,Barcelona,Iglesias,Barcelona,,
06-05-1994,Santiago Bernabeu Stadium,La Liga,Barcelona,Amor,Barcelona,,
06-01-1995,Santiago Bernabeu Stadium,La Liga,Real Madrid,Zamorano,Real Madrid,,
06-01-1995,Santiago Bernabeu Stadium,La Liga,Real Madrid,Zamorano,Real Madrid,,
06-01-1995,Santiago Bernabeu Stadium,La Liga,Real Madrid,Zamorano,Real Madrid,,
06-01-1995,Santiago Bernabeu Stadium,La Liga,Real Madrid,Enrique,Real Madrid,,
06-01-1995,Santiago Bernabeu Stadium,La Liga,Real Madrid,Amavisca,Real Madrid,,
26-05-1995,Camp Nou,La Liga,Barcelona,Nadal,Barcelona,,
30-09-1995,Santiago Bernabeu Stadium,La Liga,Draw,Roger,Barcelona,,
30-09-1995,Santiago Bernabeu Stadium,La Liga,Draw,Raul,Real Madrid,,
09-02-1996,Camp Nou,La Liga,Barcelona,Kodro,Barcelona,,
09-02-1996,Camp Nou,La Liga,Barcelona,Kodro,Barcelona,,
09-02-1996,Camp Nou,La Liga,Barcelona,Figo,Barcelona,,
07-12-1996,Santiago Bernabeu Stadium,La Liga,Real Madrid,Suker,Real Madrid,,
07-12-1996,Santiago Bernabeu Stadium,La Liga,Real Madrid,Mijatovic,Real Madrid,,
29-01-1997,Camp Nou,Copa Del Rey,Barcelona,Ronaldo,Barcelona,,
29-01-1997,Camp Nou,Copa Del Rey,Barcelona,Nadal,Barcelona,,
29-01-1997,Camp Nou,Copa Del Rey,Barcelona,Giovanni,Barcelona,,
29-01-1997,Camp Nou,Copa Del Rey,Barcelona,Suker,Real Madrid,,
29-01-1997,Camp Nou,Copa Del Rey,Barcelona,Hierro,Real Madrid,,
05-02-1997,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Suker,Real Madrid,,
05-02-1997,Santiago Bernabeu Stadium,Copa Del Rey,Draw,,Real Madrid,Roberto,
10-05-1997,Camp Nou,La Liga,Barcelona,Ronaldo,Barcelona,,
20-08-1997,Camp Nou,Supercopa,Barcelona,Nadal,Barcelona,,
20-08-1997,Camp Nou,Supercopa,Barcelona,Giovanni,Barcelona,,
20-08-1997,Camp Nou,Supercopa,Barcelona,Raul,Real Madrid,,
23-08-1997,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Giovanni,Barcelona,,
23-08-1997,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Raul,Real Madrid,,
23-08-1997,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Raul,Real Madrid,,
23-08-1997,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Mijatovic,Real Madrid,,
23-08-1997,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Seedorf,Real Madrid,,
01-11-1997,Santiago Bernabeu Stadium,La Liga,Barcelona,Rivaldo,Barcelona,,
01-11-1997,Santiago Bernabeu Stadium,La Liga,Barcelona,Enrique,Barcelona,,
01-11-1997,Santiago Bernabeu Stadium,La Liga,Barcelona,Giovanni,Barcelona,,
01-11-1997,Santiago Bernabeu Stadium,La Liga,Barcelona,Raul,Real Madrid,,
01-11-1997,Santiago Bernabeu Stadium,La Liga,Barcelona,Suker,Real Madrid,,
07-03-1998,Camp Nou,La Liga,Barcelona,Anderson,Barcelona,,
07-03-1998,Camp Nou,La Liga,Barcelona,Figo,Barcelona,,
07-03-1998,Camp Nou,La Liga,Barcelona,Giovanni,Barcelona,,
19-09-1998,Santiago Bernabeu Stadium,La Liga,Draw,Kluivert,Barcelona,,
19-09-1998,Santiago Bernabeu Stadium,La Liga,Draw,Anderson,Barcelona,,
19-09-1998,Santiago Bernabeu Stadium,La Liga,Draw,Raul,Real Madrid,,
19-09-1998,Santiago Bernabeu Stadium,La Liga,Draw,Raul,Real Madrid,,
14-02-1999,Camp Nou,La Liga,Barcelona,Enrique,Barcelona,,
14-02-1999,Camp Nou,La Liga,Barcelona,Enrique,Barcelona,,
14-02-1999,Camp Nou,La Liga,Barcelona,Rivaldo,Barcelona,,
13-10-1999,Camp Nou,La Liga,Draw,Rivaldo,Barcelona,,
13-10-1999,Camp Nou,La Liga,Draw,Figo,Barcelona,,
13-10-1999,Camp Nou,La Liga,Draw,Raul,Real Madrid,,
13-10-1999,Camp Nou,La Liga,Draw,Raul,Real Madrid,,
26-02-2000,Santiago Bernabeu Stadium,La Liga,Real Madrid,Roberto Carlos,Real Madrid,,
26-02-2000,Santiago Bernabeu Stadium,La Liga,Real Madrid,Anelka,Real Madrid,,
26-02-2000,Santiago Bernabeu Stadium,La Liga,Real Madrid,Morientes,Real Madrid,,
21-10-2000,Camp Nou,La Liga,Barcelona,Enrique,Barcelona,,
21-10-2000,Camp Nou,La Liga,Barcelona,Simao,Barcelona,,
03-03-2001,Santiago Bernabeu Stadium,La Liga,Draw,Rivaldo,Barcelona,,
03-03-2001,Santiago Bernabeu Stadium,La Liga,Draw,Rivaldo,Barcelona,,
03-03-2001,Santiago Bernabeu Stadium,La Liga,Draw,Raul,Real Madrid,,
03-03-2001,Santiago Bernabeu Stadium,La Liga,Draw,Raul,Real Madrid,,
04-11-2001,Santiago Bernabeu Stadium,La Liga,Real Madrid,Morientes,Real Madrid,,
04-11-2001,Santiago Bernabeu Stadium,La Liga,Real Madrid,Figo,Real Madrid,,
16-03-2002,Camp Nou,La Liga,Draw,Xavi,Barcelona,,
16-03-2002,Camp Nou,La Liga,Draw,Zidane,Real Madrid,,
23-04-2002,Camp Nou,UEFA Championship,Real Madrid,Zidane,Real Madrid,,
23-04-2002,Camp Nou,UEFA Championship,Real Madrid,McManaman,Real Madrid,,
01-05-2002,Santiago Bernabeu Stadium,UEFA Championship,Draw,Raul,Real Madrid,,
01-05-2002,Santiago Bernabeu Stadium,UEFA Championship,Draw,,Real Madrid,Helguera,
23-11-2002,Camp Nou,La Liga,Draw,No Goals,NA,,
19-04-2003,Santiago Bernabeu Stadium,La Liga,Draw,Enrique,Barcelona,,
19-04-2003,Santiago Bernabeu Stadium,La Liga,Draw,Ronaldo Nazario,Real Madrid,,
06-12-2003,Camp Nou,La Liga,Real Madrid,Kluivert,Barcelona,,
06-12-2003,Camp Nou,La Liga,Real Madrid,Roberto Carlos,Real Madrid,,
06-12-2003,Camp Nou,La Liga,Real Madrid,Ronaldo Nazario,Real Madrid,,
25-04-2004,Santiago Bernabeu Stadium,La Liga,Barcelona,Kluivert,Barcelona,,
25-04-2004,Santiago Bernabeu Stadium,La Liga,Barcelona,Xavi,Barcelona,,
25-04-2004,Santiago Bernabeu Stadium,La Liga,Barcelona,Solari,Real Madrid,,
20-11-2004,Camp Nou,La Liga,Barcelona,Eto'o,Barcelona,,
20-11-2004,Camp Nou,La Liga,Barcelona,Bronckhorst,Barcelona,,
20-11-2004,Camp Nou,La Liga,Barcelona,Ronaldinho,Barcelona,,
10-04-2005,Santiago Bernabeu Stadium,La Liga,Real Madrid,Eto'o,Barcelona,,
10-04-2005,Santiago Bernabeu Stadium,La Liga,Real Madrid,Ronaldinho,Barcelona,,
10-04-2005,Santiago Bernabeu Stadium,La Liga,Real Madrid,Zidane,Real Madrid,,
10-04-2005,Santiago Bernabeu Stadium,La Liga,Real Madrid,Ronaldo Nazario,Real Madrid,,
10-04-2005,Santiago Bernabeu Stadium,La Liga,Real Madrid,Raul,Real Madrid,,
10-04-2005,Santiago Bernabeu Stadium,La Liga,Real Madrid,Owen,Real Madrid,,
19-11-2005,Santiago Bernabeu Stadium,La Liga,Barcelona,Eto'o,Barcelona,,
19-11-2005,Santiago Bernabeu Stadium,La Liga,Barcelona,Ronaldinho,Barcelona,,
19-11-2005,Santiago Bernabeu Stadium,La Liga,Barcelona,Ronaldinho,Barcelona,,
01-04-2006,Camp Nou,La Liga,Draw,Ronaldinho,Barcelona,,
01-04-2006,Camp Nou,La Liga,Draw,Ronaldo Nazario,Real Madrid,,
22-10-2006,Santiago Bernabeu Stadium,La Liga,Real Madrid,Raul,Real Madrid,,
22-10-2006,Santiago Bernabeu Stadium,La Liga,Real Madrid,Nistelrooy,Real Madrid,,
10-03-2007,Camp Nou,La Liga,Draw,Messi,Barcelona,,
10-03-2007,Camp Nou,La Liga,Draw,Messi,Barcelona,,
10-03-2007,Camp Nou,La Liga,Draw,Messi,Barcelona,,
10-03-2007,Camp Nou,La Liga,Draw,Nistelrooy,Real Madrid,,
10-03-2007,Camp Nou,La Liga,Draw,Nistelrooy,Real Madrid,,
10-03-2007,Camp Nou,La Liga,Draw,Ramos,Real Madrid,,
23-12-2007,Camp Nou,La Liga,Real Madrid,Baptista,Real Madrid,,
07-05-2008,Santiago Bernabeu Stadium,La Liga,Real Madrid,Henry,Barcelona,,
07-05-2008,Santiago Bernabeu Stadium,La Liga,Real Madrid,Raul,Real Madrid,,
07-05-2008,Santiago Bernabeu Stadium,La Liga,Real Madrid,Robben,Real Madrid,,
07-05-2008,Santiago Bernabeu Stadium,La Liga,Real Madrid,Higuain,Real Madrid,,
07-05-2008,Santiago Bernabeu Stadium,La Liga,Real Madrid,Nistelrooy,Real Madrid,,
13-12-2008,Camp Nou,La Liga,Barcelona,Eto'o,Barcelona,,
13-12-2008,Camp Nou,La Liga,Barcelona,Messi,Barcelona,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,Barcelona,Henry,Barcelona,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,Barcelona,Henry,Barcelona,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,Barcelona,Puyol,Barcelona,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,Barcelona,Messi,Barcelona,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,Barcelona,Messi,Barcelona,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,Barcelona,Pique,Barcelona,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,Barcelona,Higuain,Real Madrid,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,Barcelona,Ramos,Real Madrid,,
29-11-2009,Camp Nou,La Liga,Barcelona,Ibrahimovic,Barcelona,,
10-04-2010,Santiago Bernabeu Stadium,La Liga,Barcelona,Messi,Barcelona,,
10-04-2010,Santiago Bernabeu Stadium,La Liga,Barcelona,Pedro,Barcelona,,
29-11-2010,Camp Nou,La Liga,Barcelona,Xavi,Barcelona,,
29-11-2010,Camp Nou,La Liga,Barcelona,Pedro,Barcelona,,
29-11-2010,Camp Nou,La Liga,Barcelona,Villa,Barcelona,,
29-11-2010,Camp Nou,La Liga,Barcelona,Villa,Barcelona,,
29-11-2010,Camp Nou,La Liga,Barcelona,Jeffren,Barcelona,,
16-04-2011,Santiago Bernabeu Stadium,La Liga,Draw,Messi,Barcelona,,
16-04-2011,Santiago Bernabeu Stadium,La Liga,Draw,C.Ronaldo,Real Madrid,,
20-04-2011,Mestalla Stadium,Copa Del Rey,Real Madrid,C.Ronaldo,Real Madrid,,
27-04-2011,Santiago Bernabeu Stadium,UEFA Championship,Barcelona,Messi,Barcelona,,
27-04-2011,Santiago Bernabeu Stadium,UEFA Championship,Barcelona,Messi,Barcelona,,
03-05-2011,Camp Nou,UEFA Championship,Draw,Pedro,Barcelona,,
03-05-2011,Camp Nou,UEFA Championship,Draw,Marcelo,Real Madrid,,
14-08-2011,Santiago Bernabeu Stadium,Supercopa,Draw,Villa,Barcelona,,
14-08-2011,Santiago Bernabeu Stadium,Supercopa,Draw,Messi,Barcelona,,
14-08-2011,Santiago Bernabeu Stadium,Supercopa,Draw,Ozil,Real Madrid,,
14-08-2011,Santiago Bernabeu Stadium,Supercopa,Draw,Xabi Alonso,Real Madrid,,
17-08-2011,Camp Nou,Supercopa,Barcelona,Iniesta,Barcelona,,
17-08-2011,Camp Nou,Supercopa,Barcelona,Messi,Barcelona,,
17-08-2011,Camp Nou,Supercopa,Barcelona,Messi,Barcelona,,
17-08-2011,Camp Nou,Supercopa,Barcelona,C.Ronaldo,Real Madrid,,
17-08-2011,Camp Nou,Supercopa,Barcelona,Benzema,Real Madrid,,
10-12-2011,Santiago Bernabeu Stadium,La Liga,Barcelona,Alexis Sanchez,Barcelona,,
10-12-2011,Santiago Bernabeu Stadium,La Liga,Barcelona,Xavi,Barcelona,,
10-12-2011,Santiago Bernabeu Stadium,La Liga,Barcelona,Fabregas,Barcelona,,
10-12-2011,Santiago Bernabeu Stadium,La Liga,Barcelona,Benzema,Real Madrid,,
18-01-2012,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Puyol,Barcelona,,
18-01-2012,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Abidal,Barcelona,,
18-01-2012,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,C.Ronaldo,Real Madrid,,
25-01-2012,Camp Nou,Copa Del Rey,Draw,Pedro,Barcelona,,
25-01-2012,Camp Nou,Copa Del Rey,Draw,Alves,Barcelona,,
25-01-2012,Camp Nou,Copa Del Rey,Draw,C.Ronaldo,Real Madrid,,
25-01-2012,Camp Nou,Copa Del Rey,Draw,Benzema,Real Madrid,,
21-04-2012,Camp Nou,La Liga,Real Madrid,Alexis Sanchez,Barcelona,,
21-04-2012,Camp Nou,La Liga,Real Madrid,Khedira,Real Madrid,,
21-04-2012,Camp Nou,La Liga,Real Madrid,C.Ronaldo,Real Madrid,,
23-08-2012,Camp Nou,Supercopa,Barcelona,Pedro,Barcelona,,
23-08-2012,Camp Nou,Supercopa,Barcelona,Xavi,Barcelona,,
23-08-2012,Camp Nou,Supercopa,Barcelona,Messi,Barcelona,,
23-08-2012,Camp Nou,Supercopa,Barcelona,C.Ronaldo,Real Madrid,,
23-08-2012,Camp Nou,Supercopa,Barcelona,Maria,Real Madrid,,
29-08-2012,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Messi,Barcelona,,
29-08-2012,Santiago Bernabeu Stadium,Supercopa,Real Madrid,Higuain,Real Madrid,,
29-08-2012,Santiago Bernabeu Stadium,Supercopa,Real Madrid,C.Ronaldo,Real Madrid,,
07-10-2012,Camp Nou,La Liga,Draw,Messi,Barcelona,,
07-10-2012,Camp Nou,La Liga,Draw,Messi,Barcelona,,
07-10-2012,Camp Nou,La Liga,Draw,C.Ronaldo,Real Madrid,,
07-10-2012,Camp Nou,La Liga,Draw,C.Ronaldo,Real Madrid,,
30-01-2013,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Fabregas,Barcelona,,
30-01-2013,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Varane,Real Madrid,,
26-02-2013,Camp Nou,Copa Del Rey,Real Madrid,Alba,Barcelona,,
26-02-2013,Camp Nou,Copa Del Rey,Real Madrid,C.Ronaldo,Real Madrid,,
26-02-2013,Camp Nou,Copa Del Rey,Real Madrid,C.Ronaldo,Real Madrid,,
26-02-2013,Camp Nou,Copa Del Rey,Real Madrid,Varane,Real Madrid,,
02-03-2013,Santiago Bernabeu Stadium,La Liga,Real Madrid,Messi,Barcelona,,
02-03-2013,Santiago Bernabeu Stadium,La Liga,Real Madrid,Benzema,Real Madrid,,
02-03-2013,Santiago Bernabeu Stadium,La Liga,Real Madrid,Ramos,Real Madrid,,
26-10-2013,Camp Nou,La Liga,Barcelona,Neymar,Barcelona,,
26-10-2013,Camp Nou,La Liga,Barcelona,Alexis Sanchez,Barcelona,,
26-10-2013,Camp Nou,La Liga,Barcelona,Jese,Real Madrid,,
23-03-2014,Santiago Bernabeu Stadium,La Liga,Barcelona,Iniesta,Barcelona,,
23-03-2014,Santiago Bernabeu Stadium,La Liga,Barcelona,Messi,Barcelona,,
23-03-2014,Santiago Bernabeu Stadium,La Liga,Barcelona,Messi,Barcelona,,
23-03-2014,Santiago Bernabeu Stadium,La Liga,Barcelona,Messi,Barcelona,,
23-03-2014,Santiago Bernabeu Stadium,La Liga,Barcelona,Benzema,Real Madrid,,
23-03-2014,Santiago Bernabeu Stadium,La Liga,Barcelona,Benzema,Real Madrid,,
23-03-2014,Santiago Bernabeu Stadium,La Liga,Barcelona,C.Ronaldo,Real Madrid,,
16-04-2014,Mestalla Stadium,Copa Del Rey,Real Madrid,Bartra,Barcelona,,
16-04-2014,Mestalla Stadium,Copa Del Rey,Real Madrid,di Maria,Real Madrid,,
16-04-2014,Mestalla Stadium,Copa Del Rey,Real Madrid,Bale,Real Madrid,,
25-10-2014,Santiago Bernabeu Stadium,La Liga,Real Madrid,Neymar,Barcelona,,
25-10-2014,Santiago Bernabeu Stadium,La Liga,Real Madrid,C.Ronaldo,Real Madrid,,
25-10-2014,Santiago Bernabeu Stadium,La Liga,Real Madrid,Pepe,Real Madrid,,
25-10-2014,Santiago Bernabeu Stadium,La Liga,Real Madrid,Benzema,Real Madrid,,
22-03-2015,Camp Nou,La Liga,Barcelona,Mathieu,Barcelona,,
22-03-2015,Camp Nou,La Liga,Barcelona,L.A.Suarez,Barcelona,,
22-03-2015,Camp Nou,La Liga,Barcelona,C.Ronaldo,Real Madrid,,
21-11-2015,Santiago Bernabeu Stadium,La Liga,Barcelona,L.A.Suarez,Barcelona,,
21-11-2015,Santiago Bernabeu Stadium,La Liga,Barcelona,L.A.Suarez,Barcelona,,
21-11-2015,Santiago Bernabeu Stadium,La Liga,Barcelona,Neymar,Barcelona,,
21-11-2015,Santiago Bernabeu Stadium,La Liga,Barcelona,Iniesta,Barcelona,,
02-04-2016,Camp Nou,La Liga,Real Madrid,Pique,Barcelona,,
02-04-2016,Camp Nou,La Liga,Real Madrid,Benzema,Real Madrid,,
02-04-2016,Camp Nou,La Liga,Real Madrid,C.Ronaldo,Real Madrid,,
03-12-2016,Camp Nou,La Liga,Draw,L.A.Suarez,Barcelona,,
03-12-2016,Camp Nou,La Liga,Draw,Ramos,Real Madrid,,
