Date,Venue,League,Winner,Scorer,Team,Real_Madrid_Own_Goal,Barcelona_Own_Goal
13-10-1957,Santiago Bernabeu Stadium,La Liga,Real Madrid,Rial,Real Madrid,,
13-10-1957,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
02-02-1958,Camp Nou,La Liga,Real Madrid,Marsal,Real Madrid,,
02-02-1958,Camp Nou,La Liga,Real Madrid,Rial,Real Madrid,,
26-10-1958,Camp Nou,La Liga,Barcelona,Evaristo,Barcelona,,
26-10-1958,Camp Nou,La Liga,Barcelona,Evaristo,Barcelona,,
26-10-1958,Camp Nou,La Liga,Barcelona,Evaristo,Barcelona,,
26-10-1958,Camp Nou,La Liga,Barcelona,Tejada,Barcelona,,
15-02-1959,Santiago Bernabeu Stadium,La Liga,Real Madrid,Herrera,Real Madrid,,
07-06-1959,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Kocsis,Barcelona,,
07-06-1959,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Kocsis,Barcelona,,
07-06-1959,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Suarez,Barcelona,,
07-06-1959,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Suarez,Barcelona,,
07-06-1959,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Puskas,Real Madrid,,
07-06-1959,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Mateos,Real Madrid,,
14-06-1959,Camp Nou,Copa Del Rey,Barcelona,Villaverde,Barcelona,,
14-06-1959,Camp Nou,Copa Del Rey,Barcelona,Suarez,Barcelona,,
14-06-1959,Camp Nou,Copa Del Rey,Barcelona,Suarez,Barcelona,,
14-06-1959,Camp Nou,Copa Del Rey,Barcelona,Gento,Real Madrid,,
29-11-1959,Santiago Bernabeu Stadium,La Liga,Real Madrid,Mateos,Real Madrid,,
29-11-1959,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
20-03-1960,Camp Nou,La Liga,Barcelona,Kocsis,Barcelona,,
20-03-1960,Camp Nou,La Liga,Barcelona,Eulogio Martinez,Barcelona,,
20-03-1960,Camp Nou,La Liga,Barcelona,Villaverde,Barcelona,,
20-03-1960,Camp Nou,La Liga,Barcelona,Stefano,Real Madrid,,
21-04-1960,Santiago Bernabeu Stadium,UEFA Championship,Real Madrid,Eulogio Martinez,Barcelona,,
21-04-1960,Santiago Bernabeu Stadium,UEFA Championship,Real Madrid,Stefano,Real Madrid,,
21-04-1960,Santiago Bernabeu Stadium,UEFA Championship,Real Madrid,Stefano,Real Madrid,,
21-04-1960,Santiago Bernabeu Stadium,UEFA Championship,Real Madrid,Puskas,Real Madrid,,
27-04-1960,Camp Nou,UEFA Championship,Real Madrid,Kocsis,Barcelona,,
27-04-1960,Camp Nou,UEFA Championship,Real Madrid,Puskas,Real Madrid,,
27-04-1960,Camp Nou,UEFA Championship,Real Madrid,Puskas,Real Madrid,,
27-04-1960,Camp Nou,UEFA Championship,Real Madrid,Gento,Real Madrid,,
09-11-1960,Santiago Bernabeu Stadium,UEFA Championship,Draw,Suarez,Barcelona,,
09-11-1960,Santiago Bernabeu Stadium,UEFA Championship,Draw,Suarez,Barcelona,,
09-11-1960,Santiago Bernabeu Stadium,UEFA Championship,Draw,Mateos,Real Madrid,,
09-11-1960,Santiago Bernabeu Stadium,UEFA Championship,Draw,Gento,Real Madrid,,
23-11-1960,Camp Nou,UEFA Championship,Barcelona,Verges,Barcelona,,
23-11-1960,Camp Nou,UEFA Championship,Barcelona,Evaristo,Barcelona,,
23-11-1960,Camp Nou,UEFA Championship,Barcelona,Canario,Real Madrid,,
04-12-1960,Camp Nou,La Liga,Real Madrid,Eulogio Martinez,Barcelona,,
04-12-1960,Camp Nou,La Liga,Real Madrid,Villaverde,Barcelona,,
04-12-1960,Camp Nou,La Liga,Real Madrid,Kubala,Barcelona,,
04-12-1960,Camp Nou,La Liga,Real Madrid,Stefano,Real Madrid,,
04-12-1960,Camp Nou,La Liga,Real Madrid,Stefano,Real Madrid,,
04-12-1960,Camp Nou,La Liga,Real Madrid,Sol,Real Madrid,,
04-12-1960,Camp Nou,La Liga,Real Madrid,Gento,Real Madrid,,
04-12-1960,Camp Nou,La Liga,Real Madrid,Gento,Real Madrid,,
26-03-1961,Santiago Bernabeu Stadium,La Liga,Real Madrid,Suarez,Barcelona,,
26-03-1961,Santiago Bernabeu Stadium,La Liga,Real Madrid,Kubala,Barcelona,,
26-03-1961,Santiago Bernabeu Stadium,La Liga,Real Madrid,Sol,Real Madrid,,
26-03-1961,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
26-03-1961,Santiago Bernabeu Stadium,La Liga,Real Madrid,Puskas,Real Madrid,,
30-09-1961,Santiago Bernabeu Stadium,La Liga,Real Madrid,Puskas,Real Madrid,,
30-09-1961,Santiago Bernabeu Stadium,La Liga,Real Madrid,Sol,Real Madrid,,
21-01-1962,Camp Nou,La Liga,Barcelona,Evaristo,Barcelona,,
21-01-1962,Camp Nou,La Liga,Barcelona,Evaristo,Barcelona,,
21-01-1962,Camp Nou,La Liga,Barcelona,Kocsis,Barcelona,,
21-01-1962,Camp Nou,La Liga,Barcelona,Ruiz,Real Madrid,,
