Year,Venue,Date,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file
1940,Camp Nou,14-04-1940,0,0,Draw,,,,,La Liga,la_liga
1940,Camp Nou,01-12-1940,3,0,Barcelona,,,"Sospedra, Sospedra, Mas",,La Liga,la_liga
1941,Santiago Bernabeu Stadium,23-02-1941,2,1,Barcelona,,,"Bravo, Martin",Barinaga,La Liga,la_liga
1941,Santiago Bernabeu Stadium,19-10-1941,3,4,Real Madrid,,Benito,"Calvet, Raich, Gracia","Arbiza, Arbiza, Belmar",La Liga,la_liga
1942,Camp Nou,25-01-1942,0,2,Real Madrid,,,,"Alday, Alday",La Liga,la_liga
1942,Santiago Bernabeu Stadium,27-09-1942,0,3,Real Madrid,,,,"Arbiza, Arbiza, Alsua",La Liga,la_liga
1943,Camp Nou,10-01-1943,5,5,Draw,,,"Martin, Martin, Escola, Mas, Mas","Alonso, Alday, Alday, Botella, II",La Liga,la_liga
1943,Camp de Les Corts,06-06-1943,3,0,Barcelona,,,"Valle Mas, Escola, Sospedra",,Copa Del Rey,copa_del_rey
1943,Santiago Bernabeu Stadium,13-06-1943,1,11,Real Madrid,,,Martin,"Pruden, Pruden, Pruden, Barinaga, Barinaga, Barinaga, Barinaga, Alonso, Alonso, Alsua, Botella",Copa Del Rey,copa_del_rey
1944,Santiago Bernabeu Stadium,02-01-1944,1,0,Barcelona,,,Mas,,La Liga,la_liga
1944,Camp Nou,09-04-1944,1,2,Real Madrid,,Rosalench,Escola,Alsua,La Liga,la_liga
1944,Santiago Bernabeu Stadium,12-11-1944,0,1,Real Madrid,,,,Moleiro,La Liga,la_liga
1945,Camp Nou,25-03-1945,5,0,Barcelona,,,"Cesar, Cesar, Bravo, Escola, Mariano Gonzalvo",,La Liga,la_liga
1945,Santiago Bernabeu Stadium,25-11-1945,2,3,Real Madrid,,,"Martin, Mariano Gonzalvo","Barinaga, Pruden, Belmar",La Liga,la_liga
1946,Camp Nou,03-03-1946,1,0,Barcelona,,,Cesar,,La Liga,la_liga
1946,Santiago Bernabeu Stadium,01-12-1946,1,2,Real Madrid,,,Seguer,"Corona, Molowny",La Liga,la_liga
1947,Camp Nou,30-03-1947,3,2,Barcelona,,,"Bravo, Navarro, Navarro","Arsuaga, Arsuaga",La Liga,la_liga
1947,Santiago Bernabeu Stadium,12-10-1947,1,1,Draw,Clemente,,,Barinaga,La Liga,la_liga
1948,Camp Nou,25-01-1948,4,2,Barcelona,,,"Seguer, Basora, Basora, Cesar","Gallardo, Yunta",La Liga,la_liga
1948,Santiago Bernabeu Stadium,19-09-1948,2,1,Barcelona,,,"Florencio, Basora",Barinaga,La Liga,la_liga
1949,Camp Nou,09-01-1949,3,1,Barcelona,,,"Cesar, Cesar, Basora",Pahino,La Liga,la_liga
1949,Santiago Bernabeu Stadium,18-09-1949,1,6,Real Madrid,,,Jose Gonzalvo,"Pahino, Pahino, Pahino, Cabrera, Macala, Macala",La Liga,la_liga
1950,Camp Nou,15-01-1950,2,3,Real Madrid,,,"Basora, Cesar","Pahino, Verdu, Cabrera",La Liga,la_liga
1950,Camp Nou,24-09-1950,7,2,Barcelona,,,"Nicolau, Nicolau, Cesar, Aurelio, Aurelio, Mariano Gonzalvo, Basora","Molowny, Gonzalez",La Liga,la_liga
1951,Santiago Bernabeu Stadium,14-01-1951,1,4,Real Madrid,,,Canal,"Narro, Narro, Narro, Pahino",La Liga,la_liga
1951,Santiago Bernabeu Stadium,11-11-1951,1,5,Real Madrid,,,Basora,"Molowny, Cabrera, Pahino, Pahino, Olsen",La Liga,la_liga
1952,Camp Nou,02-03-1952,4,2,Barcelona,,,"Soler, Cesar, Cesar, Cesar","Olsen, Arsuaga",La Liga,la_liga
1952,Santiago Bernabeu Stadium,23-11-1952,1,2,Real Madrid,,,Manchon,"Arsuaga, Arsuaga",La Liga,la_liga
1953,Camp Nou,05-04-1953,1,0,Barcelona,,,Moreno,,La Liga,la_liga
1953,Santiago Bernabeu Stadium,25-10-1953,0,5,Real Madrid,,,,"Stefano, Stefano, Olsen, Olsen, Molowny",La Liga,la_liga
1954,Camp Nou,21-02-1954,5,1,Barcelona,,,"Tejada, Tejada, Cesar, Moreno, Manchon",Stefano,La Liga,la_liga
1954,Santiago Bernabeu Stadium,06-06-1954,0,1,Real Madrid,,,,Mateos,Copa Del Rey,copa_del_rey
1954,Camp Nou,13-06-1954,3,1,Barcelona,,,"Cesar, Cesar, Biosca",Paya,Copa Del Rey,copa_del_rey
1954,Santiago Bernabeu Stadium,21-11-1954,0,3,Real Madrid,,,,"Stefano, Rial, Joseito",La Liga,la_liga
1955,Camp Nou,06-03-1955,2,2,Draw,,,"Basora, Moll","Gento, Gento",La Liga,la_liga
1955,Santiago Bernabeu Stadium,13-11-1955,1,2,Real Madrid,,,Areta,"Rial, Marquitos",La Liga,la_liga
1956,Camp Nou,18-03-1956,2,0,Barcelona,,,"Villaverde, Villaverde",,La Liga,la_liga
1956,Camp Nou,11-11-1956,1,0,Barcelona,,,Suarez,,La Liga,la_liga
1957,Santiago Bernabeu Stadium,03-03-1957,0,1,Real Madrid,,,,Joseito,La Liga,la_liga
1957,Santiago Bernabeu Stadium,12-05-1957,2,2,Draw,,,"Kubala, Basora","Di Stefano, Di Stefano",Copa Del Rey,copa_del_rey
1957,Camp Nou,19-05-1957,6,1,Barcelona,,Olivella,"Martinez, Martinez, Martinez, Martinez, Kubala, Villaverde",,Copa Del Rey,copa_del_rey
1957,Santiago Bernabeu Stadium,13-10-1957,0,3,Real Madrid,,,,"Kopa, Rial, Stefano",La Liga,la_liga
1958,Camp Nou,02-02-1958,0,2,Real Madrid,,,,"Marsal, Rial",La Liga,la_liga
1958,Camp Nou,26-10-1958,4,0,Barcelona,,,"Evaristo, Evaristo, Evaristo, Tejada",,La Liga,la_liga
1959,Santiago Bernabeu Stadium,15-02-1959,0,1,Real Madrid,,,,Herrera,La Liga,la_liga
1959,Santiago Bernabeu Stadium,07-06-1959,4,2,Barcelona,,,"Kocsis, Kocsis, Suarez, Suarez","Puskas, Mateos",Copa Del Rey,copa_del_rey
1959,Camp Nou,14-06-1959,3,1,Barcelona,,,"Villaverde, Suarez, Suarez",Gento,Copa Del Rey,copa_del_rey
1959,Santiago Bernabeu Stadium,29-11-1959,0,2,Real Madrid,,,,"Mateos, Stefano",La Liga,la_liga
1960,Camp Nou,20-03-1960,3,1,Barcelona,,,"Kocsis, Martinez, Villaverde",Stefano,La Liga,la_liga
1960,Santiago Bernabeu Stadium,21-04-1960,1,3,Real Madrid,,,Martinez,"Stefano, Stefano, Puskas",UEFA Championship,uefa
1960,Camp Nou,27-04-1960,1,3,Real Madrid,,,Kocsis,"Puskas, Puskas, Gento",UEFA Championship,uefa
1960,Santiago Bernabeu Stadium,09-11-1960,2,2,Draw,,,"Suarez, Suarez","Mateos, Gento",UEFA Championship,uefa
1960,Camp Nou,23-11-1960,2,1,Barcelona,,,"Verges, Evaristo",Canario,UEFA Championship,uefa
1960,Camp Nou,04-12-1960,3,5,Real Madrid,,,"Martinez, Villaverde, Kubala","Stefano, Stefano, Sol, Gento, Gento",La Liga,la_liga
1961,Santiago Bernabeu Stadium,26-03-1961,2,3,Real Madrid,,,"Suarez, Kubala","Sol, Stefano, Puskas",La Liga,la_liga
1961,Santiago Bernabeu Stadium,30-09-1961,0,2,Real Madrid,,,,"Puskas, Sol",La Liga,la_liga
1962,Camp Nou,21-01-1962,3,1,Barcelona,,,"Evaristo, Evaristo, Kocsis",Ruiz,La Liga,la_liga
1962,Santiago Bernabeu Stadium,15-04-1962,1,0,Barcelona,,,Martinez,,Copa Del Rey,copa_del_rey
1962,Camp Nou,22-04-1962,1,3,Real Madrid,,,Pereda,"del Sol, Puskas, Gento",Copa Del Rey,copa_del_rey
1962,Santiago Bernabeu Stadium,30-09-1962,0,2,Real Madrid,,,,"Stefano, Stefano",La Liga,la_liga
1963,Camp Nou,27-01-1963,1,5,Real Madrid,,,Re,"Puskas, Puskas, Puskas, Stefano, Gento",La Liga,la_liga
1963,Santiago Bernabeu Stadium,15-12-1963,0,4,Real Madrid,,,,"Puskas, Puskas, Puskas, Stefano",La Liga,la_liga
1964,Camp Nou,30-03-1964,1,2,Real Madrid,,,Zaldua,"Gento, Puskas",La Liga,la_liga
1964,Santiago Bernabeu Stadium,08-11-1964,1,4,Real Madrid,,,Re,"Amancio, Amancio, Amancio, Serena",La Liga,la_liga
1965,Camp Nou,28-02-1965,1,2,Real Madrid,,,Re,"Pirri, Serena",La Liga,la_liga
1965,Santiago Bernabeu Stadium,19-12-1965,3,1,Barcelona,,,"Fuste, Fuste, Zaldua",Ruiz,La Liga,la_liga
1966,Camp Nou,27-03-1966,2,1,Barcelona,,,"Rife, Zaballa",Gento,La Liga,la_liga
1966,Santiago Bernabeu Stadium,20-11-1966,0,1,Real Madrid,,,,Veloso,La Liga,la_liga
1967,Camp Nou,19-03-1967,2,1,Barcelona,,,"Fuste, Fuste",Amancio,La Liga,la_liga
1967,Santiago Bernabeu Stadium,10-12-1967,1,1,Draw,,,Zaldua,Gento,La Liga,la_liga
1968,Camp Nou,09-04-1968,1,1,Draw,,,Zaldua,Pirri,La Liga,la_liga
1968,Santiago Bernabeu Stadium,11-07-1968,1,0,Barcelona,Zunzunegui,,,,Copa Del Rey,copa_del_rey
1968,Santiago Bernabeu Stadium,16-11-1968,1,2,Real Madrid,,,Zaldua,"Pirri, Luis",La Liga,la_liga
1969,Camp Nou,09-03-1969,1,1,Draw,,,Zaldua,Gento,La Liga,la_liga
1969,Santiago Bernabeu Stadium,14-09-1969,3,3,Draw,,,"Bustillo, Bustillo, Rexach","Fleitas, Fleitas, Gento",La Liga,la_liga
1969,Camp Nou,28-12-1969,1,0,Barcelona,,,Gallego,,La Liga,la_liga
1970,Santiago Bernabeu Stadium,30-05-1970,0,2,Real Madrid,,,,"Grosso, Amancio",Copa Del Rey,copa_del_rey
1970,Camp Nou,06-06-1970,1,1,Draw,,,Rexach,Amancio,Copa Del Rey,copa_del_rey
1970,Santiago Bernabeu Stadium,25-10-1970,1,0,Barcelona,,,Zabalza,,La Liga,la_liga
1971,Camp Nou,14-02-1971,0,1,Real Madrid,,,,Grande,La Liga,la_liga
1971,Santiago Bernabeu Stadium,27-11-1971,1,1,Draw,,,Asensi,Grosso,La Liga,la_liga
1972,Camp Nou,03-04-1972,1,0,Barcelona,,,Asensi,,La Liga,la_liga
1972,Camp Nou,01-10-1972,1,0,Barcelona,,,Barrios,,La Liga,la_liga
1973,Santiago Bernabeu Stadium,24-02-1973,0,0,Draw,,,,,La Liga,la_liga
1973,Camp Nou,07-10-1973,0,0,Draw,,,,,La Liga,la_liga
1974,Santiago Bernabeu Stadium,16-02-1974,5,0,Barcelona,,,"Asensi, Asensi, Cruyff, Carlos, Sotil",,La Liga,la_liga
1974,Vicente Calderon Stadium,29-06-1974,0,4,Real Madrid,,,,"Santillana, Rubinan, Aguilar, Pirri",Copa Del Rey,copa_del_rey
1975,Santiago Bernabeu Stadium,04-01-1975,0,1,Real Madrid,,,,Martinez,La Liga,la_liga
1975,Camp Nou,11-05-1975,0,0,Draw,,,,,La Liga,la_liga
1975,Camp Nou,27-12-1975,2,1,Barcelona,,,"Neeskens, Rexach",Pirri,La Liga,la_liga
1976,Santiago Bernabeu Stadium,30-04-1976,2,0,Barcelona,,,"Rexach, Heredia",,La Liga,la_liga
1976,Camp Nou,19-09-1976,3,1,Barcelona,,,"Marcial, Cruyff, Heredia",Pirri,La Liga,la_liga
1977,Santiago Bernabeu Stadium,30-01-1977,1,1,Draw,,,Cruyff,Pirri,La Liga,la_liga
1977,Camp Nou,04-12-1977,2,3,Real Madrid,,,"Rexach, Rexach","Jensen, Santillana, Stielike",La Liga,la_liga
1978,Santiago Bernabeu Stadium,05-04-1978,0,4,Real Madrid,,,,"Jensen, Jensen, Juanito, Santillana",La Liga,la_liga
1978,Santiago Bernabeu Stadium,23-09-1978,1,3,Real Madrid,,,Neeskens,"Santillana, Santillana, Jensen",La Liga,la_liga
1979,Camp Nou,17-02-1979,2,0,Barcelona,,,"Krankl, Asensi",,La Liga,la_liga
1979,Santiago Bernabeu Stadium,23-09-1979,2,3,Real Madrid,,,"Landaburu, Krankl","Santillana, Juanito, Cunningham",La Liga,la_liga
1980,Camp Nou,10-02-1980,0,2,Real Madrid,,,,"Hernandez, Santillana",La Liga,la_liga
1980,Camp Nou,30-11-1980,2,1,Barcelona,,,"Schuster, Quini",Juanito,La Liga,la_liga
1981,Santiago Bernabeu Stadium,29-03-1981,0,3,Real Madrid,,,,"Juanito, Santillana, Stielike",La Liga,la_liga
1981,Camp Nou,20-12-1981,3,1,Barcelona,,,"Alexanko, Quini, Quini",Juanito,La Liga,la_liga
1982,Santiago Bernabeu Stadium,18-04-1982,1,3,Real Madrid,,,Quini,"Cortes, Stielike, Isidro",La Liga,la_liga
1982,Santiago Bernabeu Stadium,27-11-1982,2,0,Barcelona,,,"Vigo, Quini",,La Liga,la_liga
1983,Camp Nou,26-03-1983,2,1,Barcelona,,,"Maradona, Alonso",Juanito,La Liga,la_liga
1983,La Romareda Stadium,04-06-1983,2,1,Real Madrid,,,Santillana,"Victor, Marcos Alonso",Copa Del Rey,copa_del_rey
1983,Santiago Bernabeu Stadium,26-06-1983,2,2,Draw,,,"Carrasco, Maradona","Bosque, Juan Gomez",Copa De La Liga,copa_de_la_liga
1983,Camp Nou,29-06-1983,2,1,Barcelona,,,"Alexanko, Maradona",Santillana,Copa De La Liga,copa_de_la_liga
1983,Camp Nou,22-10-1983,1,2,Real Madrid,,,Quini,"Juanito, Santillana",La Liga,la_liga
1984,Santiago Bernabeu Stadium,25-02-1984,1,2,Real Madrid,,,Maradona,"Juanito, Santillana",La Liga,la_liga
1984,Santiago Bernabeu Stadium,02-09-1984,3,0,Barcelona,Angel,,"Archibald, Caldere",,La Liga,la_liga
1984,Camp Nou,30-12-1984,3,2,Barcelona,,,"Gerardo, Migueli, Vigo","Sanchis, Butragueno",La Liga,la_liga
1985,Camp Nou,11-05-1985,2,2,Draw,,,"Clos, Marcos","Valdano, Juanito",Copa De La Liga,copa_de_la_liga
1985,Santiago Bernabeu Stadium,18-05-1985,1,1,Real Madrid,,,Moratalla,Valdano,Copa De La Liga,copa_de_la_liga
1985,Camp Nou,09-11-1985,2,0,Barcelona,,,"Marcos, Caldere",,La Liga,la_liga
1986,Santiago Bernabeu Stadium,08-03-1986,1,3,Real Madrid,,,Amarilla,"Maceda, Valdano, Butragueno",La Liga,la_liga
1986,Camp Nou,11-05-1986,2,2,Draw,,,"Clos, Archibald","Pardeza, Cholo",Copa De La Liga,copa_de_la_liga
1986,Santiago Bernabeu Stadium,18-05-1986,4,0,Barcelona,,,"Amarilla, Amarilla, Urbano, Esteban",,Copa De La Liga,copa_de_la_liga
1986,Santiago Bernabeu Stadium,08-10-1986,1,1,Draw,,,Pedraza,Sanchez,La Liga,la_liga
1987,Camp Nou,31-01-1987,3,2,Barcelona,,,"Lineker, Lineker, Lineker","Valdano, Sanchez",La Liga,la_liga
1987,Santiago Bernabeu Stadium,12-04-1987,0,0,Draw,,,,,La Liga,la_liga
1987,Camp Nou,23-05-1987,2,1,Barcelona,,,"Lineker, Roberto",Sanchez,La Liga,la_liga
1988,Santiago Bernabeu Stadium,02-01-1988,1,2,Real Madrid,,,Schuster,"Sanchez, Sanchez",La Liga,la_liga
1988,Camp Nou,30-04-1988,2,0,Barcelona,,,"Carrasco, Lineker",,La Liga,la_liga
1988,Santiago Bernabeu Stadium,21-09-1988,0,2,Real Madrid,,,,"Michel, Sanchez",Supercopa,supercopa
1988,Camp Nou,29-09-1988,2,1,Barcelona,,,"Bakero, Bakero",Butragueno,Supercopa,supercopa
1988,Santiago Bernabeu Stadium,22-10-1988,2,3,Real Madrid,,,"Bakero, Carrasco","Sanchez, Aldana, Gordillo",La Liga,la_liga
1989,Camp Nou,01-04-1989,0,0,Draw,,,,,La Liga,la_liga
1989,Camp Nou,07-10-1989,3,1,Barcelona,,,"Salinas, Koeman, Koeman",Sanchez,La Liga,la_liga
1990,Santiago Bernabeu Stadium,15-02-1990,2,3,Real Madrid,,,"Salinas, Salinas","Michel, Butragueno, Sanchez",La Liga,la_liga
1990,Mestalla Stadium,04-04-1990,2,0,Real Madrid,,,"Amor, Salinas",,Copa Del Rey,copa_del_rey
1990,Camp Nou,05-12-1990,0,1,Real Madrid,,,,Michel,Supercopa,supercopa
1990,Santiago Bernabeu Stadium,12-12-1990,1,4,Real Madrid,,,Goikoetxea,"Butragueno, Butragueno, Sanchez, Aragon",Supercopa,supercopa
1991,Camp Nou,19-01-1991,2,1,Barcelona,Spasic,,Laudrup,Butragueno,La Liga,la_liga
1991,Santiago Bernabeu Stadium,08-06-1991,0,1,Real Madrid,,,,Aldana,La Liga,la_liga
1991,Santiago Bernabeu Stadium,19-10-1991,1,1,Draw,,,Koeman,Prosinecki,La Liga,la_liga
1992,Camp Nou,07-03-1992,1,1,Draw,,,Koeman,Hierro,La Liga,la_liga
1992,Camp Nou,05-09-1992,2,1,Barcelona,,,"Bakero, Stoichkov",Michel,La Liga,la_liga
1993,Santiago Bernabeu Stadium,29-01-1993,1,2,Real Madrid,,,Amor,"Zamorano, Michel",La Liga,la_liga
1993,Santiago Bernabeu Stadium,08-06-1993,1,1,Draw,,,Bakero,Zamorano,Copa Del Rey,copa_del_rey
1993,Camp Nou,15-06-1993,1,2,Real Madrid,,,Laudrup,"Zamorano, Michel",Copa Del Rey,copa_del_rey
1993,Santiago Bernabeu Stadium,02-12-1993,1,3,Real Madrid,,,Stoichkov,"Alfonso, Alfonso, Zamorano",Supercopa,supercopa
1993,Camp Nou,16-12-1993,1,1,Draw,,,Bakero,Zamorano,Supercopa,supercopa
1994,Camp Nou,08-01-1994,5,0,Barcelona,,,"Romario, Romario, Romario, Koeman, Iglesias",,La Liga,la_liga
1994,Santiago Bernabeu Stadium,06-05-1994,1,0,Barcelona,,,Amor,,La Liga,la_liga
1995,Santiago Bernabeu Stadium,06-01-1995,0,5,Real Madrid,,,,"Zamorano, Zamorano, Zamorano, Enrique, Amavisca",La Liga,la_liga
1995,Camp Nou,26-05-1995,1,0,Barcelona,,,Nadal,,La Liga,la_liga
1995,Santiago Bernabeu Stadium,30-09-1995,1,1,Draw,,,Roger,Raul,La Liga,la_liga
1996,Camp Nou,09-02-1996,3,0,Barcelona,,,"Kodro, Kodro, Figo",,La Liga,la_liga
1996,Santiago Bernabeu Stadium,07-12-1996,0,2,Real Madrid,,,,"Suker, Mijatovic",La Liga,la_liga
1997,Camp Nou,29-01-1997,3,2,Barcelona,,,"Ronaldo, Nadal, Giovanni","Suker, Hierro",Copa Del Rey,copa_del_rey
1997,Santiago Bernabeu Stadium,05-02-1997,1,1,Draw,Roberto,,,Suker,Copa Del Rey,copa_del_rey
1997,Camp Nou,10-05-1997,1,0,Barcelona,,,Ronaldo,,La Liga,la_liga
1997,Camp Nou,20-08-1997,2,1,Barcelona,,,"Nadal, Giovanni",Raul,Supercopa,supercopa
1997,Santiago Bernabeu Stadium,23-08-1997,1,4,Real Madrid,,,Giovanni,"Raul, Raul, Mijatovic, Seedorf",Supercopa,supercopa
1997,Santiago Bernabeu Stadium,01-11-1997,3,2,Barcelona,,,"Rivaldo, Enrique, Giovanni","Raul, Suker",La Liga,la_liga
1998,Camp Nou,07-03-1998,3,0,Barcelona,,,"Anderson, Figo, Giovanni",,La Liga,la_liga
1998,Santiago Bernabeu Stadium,19-09-1998,2,2,Draw,,,"Kluivert, Anderson","Raul, Raul",La Liga,la_liga
1999,Camp Nou,14-02-1999,3,0,Barcelona,,,"Enrique, Enrique, Rivaldo",,La Liga,la_liga
1999,Camp Nou,13-10-1999,2,2,Draw,,,"Rivaldo, Figo","Raul, Raul",La Liga,la_liga
2000,Santiago Bernabeu Stadium,26-02-2000,0,3,Real Madrid,,,,"Carlos, Anelka, Morientes",La Liga,la_liga
2000,Camp Nou,21-10-2000,2,0,Barcelona,,,"Enrique, Simao",,La Liga,la_liga
2001,Santiago Bernabeu Stadium,03-03-2001,2,2,Draw,,,"Rivaldo, Rivaldo","Raul, Raul",La Liga,la_liga
2001,Santiago Bernabeu Stadium,04-11-2001,0,2,Real Madrid,,,,"Morientes, Figo",La Liga,la_liga
2002,Camp Nou,16-03-2002,1,1,Draw,,,Xavi,Zidane,La Liga,la_liga
2002,Camp Nou,23-04-2002,0,2,Real Madrid,,,,"Zidane, McManaman",UEFA Championship,uefa
2002,Santiago Bernabeu Stadium,01-05-2002,1,1,Draw,Helguera,,,Raul,UEFA Championship,uefa
2002,Camp Nou,23-11-2002,0,0,Draw,,,,,La Liga,la_liga
2003,Santiago Bernabeu Stadium,19-04-2003,1,1,Draw,,,Enrique,Ronaldo Nazario,La Liga,la_liga
2003,Camp Nou,06-12-2003,1,2,Real Madrid,,,Kluivert,"Carlos, Ronaldo Nazario",La Liga,la_liga
2004,Santiago Bernabeu Stadium,25-04-2004,2,1,Barcelona,,,"Kluivert, Xavi",Solari,La Liga,la_liga
2004,Camp Nou,20-11-2004,3,0,Barcelona,,,"Eto'o, Bronckhorst, Ronaldinho",,La Liga,la_liga
2005,Santiago Bernabeu Stadium,10-04-2005,2,4,Real Madrid,,,"Eto'o, Ronaldinho","Zidane, Ronaldo Nazario, Raul, Owen",La Liga,la_liga
2005,Santiago Bernabeu Stadium,19-11-2005,3,0,Barcelona,,,"Eto'o, Ronaldinho, Ronaldinho",,La Liga,la_liga
2006,Camp Nou,01-04-2006,1,1,Draw,,,Ronaldinho,Ronaldo Nazario,La Liga,la_liga
2006,Santiago Bernabeu Stadium,22-10-2006,0,2,Real Madrid,,,,"Raul, Nistelrooy",La Liga,la_liga
2007,Camp Nou,10-03-2007,3,3,Draw,,,"Messi, Messi, Messi","Nistelrooy, Nistelrooy, Ramos",La Liga,la_liga
2007,Camp Nou,23-12-2007,0,1,Real Madrid,,,,Baptista,La Liga,la_liga
2008,Santiago Bernabeu Stadium,07-05-2008,1,4,Real Madrid,,,Henry,"Raul, Robben, Higuain, Nistelrooy",La Liga,la_liga
2008,Camp Nou,13-12-2008,2,0,Barcelona,,,"Eto'o, Messi",,La Liga,la_liga
2009,Santiago Bernabeu Stadium,02-05-2009,6,2,Barcelona,,,"Henry, Henry, Puyol, Messi, Messi, Pique","Higuain, Ramos",La Liga,la_liga
2009,Camp Nou,29-11-2009,1,0,Barcelona,,,Ibrahimovic,,La Liga,la_liga
2010,Santiago Bernabeu Stadium,10-04-2010,2,0,Barcelona,,,"Messi, Pedro",,La Liga,la_liga
2010,Camp Nou,29-11-2010,5,0,Barcelona,,,"Xavi, Pedro, Villa, Villa, Jeffren",,La Liga,la_liga
2011,Santiago Bernabeu Stadium,16-04-2011,1,1,Draw,,,Messi,C.Ronaldo,La Liga,la_liga
2011,Mestalla Stadium,20-04-2011,0,1,Real Madrid,,,,C.Ronaldo,Copa Del Rey,copa_del_rey
2011,Santiago Bernabeu Stadium,27-04-2011,2,0,Barcelona,,,"Messi, Messi",,UEFA Championship,uefa
2011,Camp Nou,03-05-2011,1,1,Draw,,,Pedro,Marcelo,UEFA Championship,uefa
2011,Santiago Bernabeu Stadium,14-08-2011,2,2,Draw,,,"Villa, Messi","Ozil, Alonso",Supercopa,supercopa
2011,Camp Nou,17-08-2011,3,2,Barcelona,,,"Iniesta, Messi, Messi","C.Ronaldo, Benzema",Supercopa,supercopa
2011,Santiago Bernabeu Stadium,10-12-2011,3,1,Barcelona,,,"Sanchez, Xavi, Fabregas",Benzema,La Liga,la_liga
2012,Santiago Bernabeu Stadium,18-01-2012,2,1,Barcelona,,,"Puyol, Abidal",C.Ronaldo,Copa Del Rey,copa_del_rey
2012,Camp Nou,25-01-2012,2,2,Draw,,,"Pedro, Alves","C.Ronaldo, Benzema",Copa Del Rey,copa_del_rey
2012,Camp Nou,21-04-2012,1,2,Real Madrid,,,Sanchez,"Khedira, C.Ronaldo",La Liga,la_liga
