Year,Venue,Date,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file
1942,Camp Nou,1942-01-25,0,2,Real Madrid,,,,"Alday, Alday",La Liga,la_liga
1942,Santiago Bernabéu Stadium,1942-09-27,0,3,Real Madrid,,,,"Arbiza, Arbiza, Alsúa",La Liga,la_liga
1943,Camp Nou,1943-01-10,5,5,Draw,,,"Martín, Martín, Escolà, Mas, Mas","Alonso, Alday, Alday, Botella, II",La Liga,la_liga
1943,Camp de Les Corts,1943-06-06,3,0,Barcelona,,,"Valle Mas, Escola, Sospedra",,Copa Del Rey,copa_del_rey
1943,Santiago Bernabéu Stadium,1943-06-13,1,11,Real Madrid,,,Martín,"Pruden, Pruden, Pruden, Barinaga, Barinaga, Barinaga, Barinaga, Alonso, Alonso, Alsúa, Botella",Copa Del Rey,copa_del_rey
1944,Santiago Bernabéu Stadium,1944-01-02,1,0,Barcelona,,,Mas,,La Liga,la_liga
1944,Camp Nou,1944-04-09,1,2,Real Madrid,,Rosalénch,Escolà,Alsúa,La Liga,la_liga
1944,Santiago Bernabéu Stadium,1944-11-12,0,1,Real Madrid,,,,Moleiro,La Liga,la_liga
1945,Camp Nou,1945-03-25,5,0,Barcelona,,,"César, César, Bravo, Escolà, III",,La Liga,la_liga
1945,Santiago Bernabéu Stadium,1945-11-25,2,3,Real Madrid,,,"Martín, III","Barinaga, Pruden, Belmar",La Liga,la_liga
1946,Camp Nou,1946-03-03,1,0,Barcelona,,,César,,La Liga,la_liga
1946,Santiago Bernabéu Stadium,1946-12-01,1,2,Real Madrid,,,Seguer,"Corona, Molowny",La Liga,la_liga
1947,Camp Nou,1947-03-30,3,2,Barcelona,,,"Bravo, Navarro, Navarro","Arsuaga, Arsuaga",La Liga,la_liga
1947,Santiago Bernabéu Stadium,1947-10-12,1,1,Draw,Clemente,,,Barinaga,La Liga,la_liga
1948,Camp Nou,1948-01-25,4,2,Barcelona,,,"Seguer, Basora, Basora, César","Gallardo, Yunta",La Liga,la_liga
1948,Santiago Bernabéu Stadium,1948-09-19,2,1,Barcelona,,,"Florencio, Basora",Barinaga,La Liga,la_liga
1949,Camp Nou,1949-01-09,3,1,Barcelona,,,"César, César, Basora",Pahiño,La Liga,la_liga
1949,Santiago Bernabéu Stadium,1949-09-18,1,6,Real Madrid,,,II,"Pahiño, Pahiño, Pahiño, Cabrera, Macala, Macala",La Liga,la_liga
1950,Camp Nou,1950-01-15,2,3,Real Madrid,,,"Basora, César","Pahiño, Verdú, Cabrera",La Liga,la_liga
1950,Camp Nou,1950-09-24,7,2,Barcelona,,,"Nicolau, Nicolau, César, Aurelio, Aurelio, III, Basora","Molowny, González",La Liga,la_liga
1951,Santiago Bernabéu Stadium,1951-01-14,1,4,Real Madrid,,,Canal,"Narro, Narro, Narro, Pahiño",La Liga,la_liga
1951,Santiago Bernabéu Stadium,1951-11-11,1,5,Real Madrid,,,Basora,"Molowny, Cabrera, Pahiño, Pahiño, Olsen",La Liga,la_liga
1952,Camp Nou,1952-03-02,4,2,Barcelona,,,"Soler, César, César, César","Olsen, Arsuaga",La Liga,la_liga
1952,Santiago Bernabéu Stadium,1952-11-23,1,2,Real Madrid,,,Manchón,"Arsuaga, Arsuaga",La Liga,la_liga
1953,Camp Nou,1953-04-05,1,0,Barcelona,,,Moreno,,La Liga,la_liga
1953,Santiago Bernabéu Stadium,1953-10-25,0,5,Real Madrid,,,,"Stéfano, Stéfano, Olsen, Olsen, Molowny",La Liga,la_liga
1954,Camp Nou,1954-02-21,5,1,Barcelona,,,"Tejada, Tejada, César, Moreno, Manchón",Stéfano,La Liga,la_liga
1954,Santiago Bernabéu Stadium,1954-06-06,0,1,Real Madrid,,,,Mateos,Copa Del Rey,copa_del_rey
1954,Camp Nou,1954-06-13,3,1,Barcelona,,,"César, César, Biosca",Payá,Copa Del Rey,copa_del_rey
1954,Santiago Bernabéu Stadium,1954-11-21,0,3,Real Madrid,,,,"Stéfano, Rial, Joseito",La Liga,la_liga
1955,Camp Nou,1955-03-06,2,2,Draw,,,"Basora, Moll","Gento, Gento",La Liga,la_liga
1955,Santiago Bernabéu Stadium,1955-11-13,1,2,Real Madrid,,,Areta,"Rial, Marquitos",La Liga,la_liga
1956,Camp Nou,1956-03-18,2,0,Barcelona,,,"Villaverde, Villaverde",,La Liga,la_liga
1956,Camp Nou,1956-11-11,1,0,Barcelona,,,Suárez,,La Liga,la_liga
1957,Santiago Bernabéu Stadium,1957-03-03,0,1,Real Madrid,,,,Joseito,La Liga,la_liga
1957,Santiago Bernabéu Stadium,1957-05-12,2,2,Draw,,,"Kubala, Basora","Di Stefano, Di Stefano",Copa Del Rey,copa_del_rey
1957,Camp Nou,1957-05-19,6,1,Barcelona,,Olivella,"Martínez, Martínez, Martínez, Martínez, Kubala, Villaverde",,Copa Del Rey,copa_del_rey
1957,Santiago Bernabéu Stadium,1957-10-13,0,3,Real Madrid,,,,"Kopa, Rial, Stéfano",La Liga,la_liga
1958,Camp Nou,1958-02-02,0,2,Real Madrid,,,,"Marsal, Rial",La Liga,la_liga
1958,Camp Nou,1958-10-26,4,0,Barcelona,,,"Evaristo, Evaristo, Evaristo, Tejada",,La Liga,la_liga
1959,Santiago Bernabéu Stadium,1959-02-15,0,1,Real Madrid,,,,Herrera,La Liga,la_liga
1959,Santiago Bernabéu Stadium,1959-06-07,4,2,Barcelona,,,"Kocsis, Kocsis, Suárez, Suárez","Puskas, Mateos",Copa Del Rey,copa_del_rey
1959,Camp Nou,1959-06-14,3,1,Barcelona,,,"Villaverde, Suarez, Suarez",Gento,Copa Del Rey,copa_del_rey
1959,Santiago Bernabéu Stadium,1959-11-29,0,2,Real Madrid,,,,"Mateos, Stéfano",La Liga,la_liga
1960,Camp Nou,1960-03-20,3,1,Barcelona,,,"Kocsis, Martínez, Villaverde",Stéfano,La Liga,la_liga
1960,Santiago Bernabéu Stadium,1960-04-21,1,3,Real Madrid,,,Martínez,"Stéfano, Stéfano, Puskás",UEFA Championship,uefa
1960,Camp Nou,1960-04-27,1,3,Real Madrid,,,Kocsis,"Puskás, Puskás, Gento",UEFA Championship,uefa
1960,Santiago Bernabéu Stadium,1960-11-09,2,2,Draw,,,"Suarez, Suarez","Mateos, Gento",UEFA Championship,uefa
1960,Camp Nou,1960-11-23,2,1,Barcelona,,,"Vergés, Evaristo",Canário,UEFA Championship,uefa
1960,Camp Nou,1960-12-04,3,5,Real Madrid,,,"Martínez, Villaverde, Kubala","Stéfano, Stéfano, Sol, Gento, Gento",La Liga,la_liga
1961,Santiago Bernabéu Stadium,1961-03-26,2,3,Real Madrid,,,"Suárez, Kubala","Sol, Stéfano, Puskás",La Liga,la_liga
1961,Santiago Bernabéu Stadium,1961-09-30,0,2,Real Madrid,,,,"Puskás, Sol",La Liga,la_liga
1962,Camp Nou,1962-01-21,3,1,Barcelona,,,"Evaristo, Evaristo, Kocsis",Ruiz,La Liga,la_liga
1962,Santiago Bernabéu Stadium,1962-04-15,1,0,Barcelona,,,Martínez,,Copa Del Rey,copa_del_rey
1962,Camp Nou,1962-04-22,1,3,Real Madrid,,,Pereda,"del Sol, Puskas, Gento",Copa Del Rey,copa_del_rey
1962,Santiago Bernabéu Stadium,1962-09-30,0,2,Real Madrid,,,,"Stéfano, Stéfano",La Liga,la_liga
1963,Camp Nou,1963-01-27,1,5,Real Madrid,,,Ré,"Puskás, Puskás, Puskás, Stéfano, Gento",La Liga,la_liga
1963,Santiago Bernabéu Stadium,1963-12-15,0,4,Real Madrid,,,,"Puskás, Puskás, Puskás, Stéfano",La Liga,la_liga
1964,Camp Nou,1964-03-30,1,2,Real Madrid,,,Zaldúa,"Gento, Puskás",La Liga,la_liga
1964,Santiago Bernabéu Stadium,1964-11-08,1,4,Real Madrid,,,Ré,"Amancio, Amancio, Amancio, Serena",La Liga,la_liga
1965,Camp Nou,1965-02-28,1,2,Real Madrid,,,Ré,"Pirri, Serena",La Liga,la_liga
1965,Santiago Bernabéu Stadium,1965-12-19,3,1,Barcelona,,,"Fusté, Fusté, Zaldúa",Ruiz,La Liga,la_liga
1966,Camp Nou,1966-03-27,2,1,Barcelona,,,"Rifé, Zaballa",Gento,La Liga,la_liga
1966,Santiago Bernabéu Stadium,1966-11-20,0,1,Real Madrid,,,,Veloso,La Liga,la_liga
1967,Camp Nou,1967-03-19,2,1,Barcelona,,,"Fusté, Fusté",Amancio,La Liga,la_liga
1967,Santiago Bernabéu Stadium,1967-12-10,1,1,Draw,,,Zaldúa,Gento,La Liga,la_liga
1968,Camp Nou,1968-04-09,1,1,Draw,,,Zaldúa,Pirri,La Liga,la_liga
1968,Santiago Bernabéu Stadium,1968-07-11,1,0,Barcelona,Zunzunegui,,,,Copa Del Rey,copa_del_rey
1968,Santiago Bernabéu Stadium,1968-11-16,1,2,Real Madrid,,,Zaldúa,"Pirri, Luis",La Liga,la_liga
1969,Camp Nou,1969-03-09,1,1,Draw,,,Zaldúa,Gento,La Liga,la_liga
1969,Santiago Bernabéu Stadium,1969-09-14,3,3,Draw,,,"Bustillo, Bustillo, Rexach","Fleitas, Fleitas, Gento",La Liga,la_liga
1969,Camp Nou,1969-12-28,1,0,Barcelona,,,Gallego,,La Liga,la_liga
1970,Santiago Bernabéu Stadium,1970-05-30,0,2,Real Madrid,,,,"Grosso, Amancio",Copa Del Rey,copa_del_rey
1970,Camp Nou,1970-06-06,1,1,Draw,,,Rexach,Amancio,Copa Del Rey,copa_del_rey
1970,Santiago Bernabéu Stadium,1970-10-25,1,0,Barcelona,,,Zabalza,,La Liga,la_liga
1971,Camp Nou,1971-02-14,0,1,Real Madrid,,,,Grande,La Liga,la_liga
1971,Santiago Bernabéu Stadium,1971-11-27,1,1,Draw,,,Asensi,Grosso,La Liga,la_liga
1972,Camp Nou,1972-04-03,1,0,Barcelona,,,Asensi,,La Liga,la_liga
1972,Camp Nou,1972-10-01,1,0,Barcelona,,,Barrios,,La Liga,la_liga
1973,Santiago Bernabéu Stadium,1973-02-24,0,0,Draw,,,,,La Liga,la_liga
1973,Camp Nou,1973-10-07,0,0,Draw,,,,,La Liga,la_liga
1974,Santiago Bernabéu Stadium,1974-02-16,5,0,Barcelona,,,"Asensi, Asensi, Cruyff, Carlos, Sotil",,La Liga,la_liga
1974,Vicente Calderon Stadium,1974-06-29,0,4,Real Madrid,,,,"Santillana, Rubiñán, Aguilar, Pirri",Copa Del Rey,copa_del_rey
1975,Santiago Bernabéu Stadium,1975-01-04,0,1,Real Madrid,,,,Martínez,La Liga,la_liga
1975,Camp Nou,1975-05-11,0,0,Draw,,,,,La Liga,la_liga
1975,Camp Nou,1975-12-27,2,1,Barcelona,,,"Neeskens, Rexach",Pirri,La Liga,la_liga
1976,Santiago Bernabéu Stadium,1976-04-30,2,0,Barcelona,,,"Rexach, Heredia",,La Liga,la_liga
1976,Camp Nou,1976-09-19,3,1,Barcelona,,,"Marcial, Cruyff, Heredia",Pirri,La Liga,la_liga
1977,Santiago Bernabéu Stadium,1977-01-30,1,1,Draw,,,Cruyff,Pirri,La Liga,la_liga
1977,Camp Nou,1977-12-04,2,3,Real Madrid,,,"Rexach, Rexach","Jensen, Santillana, Stielike",La Liga,la_liga
1978,Santiago Bernabéu Stadium,1978-04-05,0,4,Real Madrid,,,,"Jensen, Jensen, Juanito, Santillana",La Liga,la_liga
1978,Santiago Bernabéu Stadium,1978-09-23,1,3,Real Madrid,,,Neeskens,"Santillana, Santillana, Jensen",La Liga,la_liga
1979,Camp Nou,1979-02-17,2,0,Barcelona,,,"Krankl, Asensi",,La Liga,la_liga
1979,Santiago Bernabéu Stadium,1979-09-23,2,3,Real Madrid,,,"Landáburu, Krankl","Santillana, Juanito, Cunningham",La Liga,la_liga
1980,Camp Nou,1980-02-10,0,2,Real Madrid,,,,"Hernández, Santillana",La Liga,la_liga
1980,Camp Nou,1980-11-30,2,1,Barcelona,,,"Schuster, Quini",Juanito,La Liga,la_liga
1981,Santiago Bernabéu Stadium,1981-03-29,0,3,Real Madrid,,,,"Juanito, Santillana, Stielike",La Liga,la_liga
1981,Camp Nou,1981-12-20,3,1,Barcelona,,,"Alexanko, Quini, Quini",Juanito,La Liga,la_liga
1982,Santiago Bernabéu Stadium,1982-04-18,1,3,Real Madrid,,,Quini,"Cortés, Stielike, Isidro",La Liga,la_liga
1982,Santiago Bernabéu Stadium,1982-11-27,2,0,Barcelona,,,"Vigo, Quini",,La Liga,la_liga
1983,Camp Nou,1983-03-26,2,1,Barcelona,,,"Maradona, Alonso",Juanito,La Liga,la_liga
1983,La Romareda Stadium,1983-06-04,2,1,Real Madrid,,,Santillana,"Víctor, Marcos Alonso",Copa Del Rey,copa_del_rey
1983,Santiago Bernabéu Stadium,1983-06-26,2,2,Draw,,,"Carrasco, Maradona","Bosque, Juan Gomez",Copa De La Liga,copa_de_la_liga
1983,Camp Nou,1983-06-29,2,1,Barcelona,,,"Alexanko, Maradona",Santillana,Copa De La Liga,copa_de_la_liga
1983,Camp Nou,1983-10-22,1,2,Real Madrid,,,Quini,"Juanito, Santillana",La Liga,la_liga
1984,Santiago Bernabéu Stadium,1984-02-25,1,2,Real Madrid,,,Maradona,"Juanito, Santillana",La Liga,la_liga
1984,Santiago Bernabéu Stadium,1984-09-02,3,0,Barcelona,Ángel,,"Archibald, Calderé",,La Liga,la_liga
1984,Camp Nou,1984-12-30,3,2,Barcelona,,,"Gerardo, Migueli, Vigo","Sanchís, Butragueño",La Liga,la_liga
1985,Camp Nou,1985-05-11,2,2,Draw,,,"Clos, Marcos","Valdano, Juanito",Copa De La Liga,copa_de_la_liga
1985,Santiago Bernabéu Stadium,1985-05-18,1,1,Real Madrid,,,Moratalla,Valdano,Copa De La Liga,copa_de_la_liga
1985,Camp Nou,1985-11-09,2,0,Barcelona,,,"Marcos, Calderé",,La Liga,la_liga
1986,Santiago Bernabéu Stadium,1986-03-08,1,3,Real Madrid,,,Amarilla,"Maceda, Valdano, Butragueño",La Liga,la_liga
1986,Camp Nou,1986-05-11,2,2,Draw,,,"Clos, Archibald","Pardeza, Cholo",Copa De La Liga,copa_de_la_liga
1986,Santiago Bernabéu Stadium,1986-05-18,4,0,Barcelona,,,"Amarilla, Amarilla, Urbano, Esteban",,Copa De La Liga,copa_de_la_liga
1986,Santiago Bernabéu Stadium,1986-10-08,1,1,Draw,,,Pedraza,Sánchez,La Liga,la_liga
1987,Camp Nou,1987-01-31,3,2,Barcelona,,,"Lineker, Lineker, Lineker","Valdano, Sánchez",La Liga,la_liga
1987,Santiago Bernabéu Stadium,1987-04-12,0,0,Draw,,,,,La Liga,la_liga
1987,Camp Nou,1987-05-23,2,1,Barcelona,,,"Lineker, Roberto",Sánchez,La Liga,la_liga
1988,Santiago Bernabéu Stadium,1988-01-02,1,2,Real Madrid,,,Schuster,"Sánchez, Sánchez",La Liga,la_liga
1988,Camp Nou,1988-04-30,2,0,Barcelona,,,"Carrasco, Lineker",,La Liga,la_liga
1988,Santiago Bernabéu Stadium,1988-09-21,0,2,Real Madrid,,,,"Míchel, Sánchez",Supercopa,supercopa
1988,Camp Nou,1988-09-29,2,1,Barcelona,,,"Bakero, Bakero",Butragueño,Supercopa,supercopa
1988,Santiago Bernabéu Stadium,1988-10-22,2,3,Real Madrid,,,"Bakero, Carrasco","Sánchez, Aldana, Gordillo",La Liga,la_liga
1989,Camp Nou,1989-04-01,0,0,Draw,,,,,La Liga,la_liga
1989,Camp Nou,1989-10-07,3,1,Barcelona,,,"Salinas, Koeman, Koeman",Sánchez,La Liga,la_liga
1990,Santiago Bernabéu Stadium,1990-02-15,2,3,Real Madrid,,,"Salinas, Salinas","Míchel, Butragueño, Sánchez",La Liga,la_liga
1990,Mestalla Stadium,1990-04-04,2,0,Real Madrid,,,"Amor, Salinas",,Copa Del Rey,copa_del_rey
1990,Camp Nou,1990-12-05,0,1,Real Madrid,,,,Míchel,Supercopa,supercopa
1990,Santiago Bernabéu Stadium,1990-12-12,1,4,Real Madrid,,,Goikoetxea,"Butragueño, Butragueño, Sánchez, Aragón",Supercopa,supercopa
1991,Camp Nou,1991-01-19,2,1,Barcelona,Spasić,,Laudrup,Butragueño,La Liga,la_liga
1991,Santiago Bernabéu Stadium,1991-06-08,0,1,Real Madrid,,,,Aldana,La Liga,la_liga
1991,Santiago Bernabéu Stadium,1991-10-19,1,1,Draw,,,Koeman,Prosinečki,La Liga,la_liga
1992,Camp Nou,1992-03-07,1,1,Draw,,,Koeman,Hierro,La Liga,la_liga
1992,Camp Nou,1992-09-05,2,1,Barcelona,,,"Bakero, Stoichkov",Míchel,La Liga,la_liga
1993,Santiago Bernabéu Stadium,1993-01-29,1,2,Real Madrid,,,Amor,"Zamorano, Míchel",La Liga,la_liga
1993,Santiago Bernabéu Stadium,1993-06-08,1,1,Draw,,,Bakero,Zamorano,Copa Del Rey,copa_del_rey
1993,Camp Nou,1993-06-15,1,2,Real Madrid,,,Laudrup,"Zamorano, Michel",Copa Del Rey,copa_del_rey
1993,Santiago Bernabéu Stadium,1993-12-02,1,3,Real Madrid,,,Stoichkov,"Alfonso, Alfonso, Zamorano",Supercopa,supercopa
1993,Camp Nou,1993-12-16,1,1,Draw,,,Bakero,Zamorano,Supercopa,supercopa
1994,Camp Nou,1994-01-08,5,0,Barcelona,,,"Romário, Romário, Romário, Koeman, Iglesias",,La Liga,la_liga
1994,Santiago Bernabéu Stadium,1994-05-06,1,0,Barcelona,,,Amor,,La Liga,la_liga
1995,Santiago Bernabéu Stadium,1995-01-06,0,5,Real Madrid,,,,"Zamorano, Zamorano, Zamorano, Enrique, Amavisca",La Liga,la_liga
1995,Camp Nou,1995-05-26,1,0,Barcelona,,,Nadal,,La Liga,la_liga
1995,Santiago Bernabéu Stadium,1995-09-30,1,1,Draw,,,Roger,Raúl,La Liga,la_liga
1996,Camp Nou,1996-02-09,3,0,Barcelona,,,"Kodro, Kodro, Figo",,La Liga,la_liga
1996,Santiago Bernabéu Stadium,1996-12-07,0,2,Real Madrid,,,,"Šuker, Mijatović",La Liga,la_liga
1997,Camp Nou,1997-01-29,3,2,Barcelona,,,"Ronaldo, Nadal, Giovanni","Šuker, Hierro",Copa Del Rey,copa_del_rey
1997,Santiago Bernabéu Stadium,1997-02-05,1,1,Draw,Roberto,,,Suker,Copa Del Rey,copa_del_rey
1997,Camp Nou,1997-05-10,1,0,Barcelona,,,Ronaldo,,La Liga,la_liga
1997,Camp Nou,1997-08-20,2,1,Barcelona,,,"Nadal, Giovanni",Raúl,Supercopa,supercopa
1997,Santiago Bernabéu Stadium,1997-08-23,1,4,Real Madrid,,,Giovanni,"Raúl, Raúl, Mijatović, Seedorf",Supercopa,supercopa
1997,Santiago Bernabéu Stadium,1997-11-01,3,2,Barcelona,,,"Rivaldo, Enrique, Giovanni","Raúl, Šuker",La Liga,la_liga
1998,Camp Nou,1998-03-07,3,0,Barcelona,,,"Anderson, Figo, Giovanni",,La Liga,la_liga
1998,Santiago Bernabéu Stadium,1998-09-19,2,2,Draw,,,"Kluivert, Anderson","Raúl, Raúl",La Liga,la_liga
1999,Camp Nou,1999-02-14,3,0,Barcelona,,,"Enrique, Enrique, Rivaldo",,La Liga,la_liga
1999,Camp Nou,1999-10-13,2,2,Draw,,,"Rivaldo, Figo","Raúl, Raúl",La Liga,la_liga
2000,Santiago Bernabéu Stadium,2000-02-26,0,3,Real Madrid,,,,"Carlos, Anelka, Morientes",La Liga,la_liga
2000,Camp Nou,2000-10-21,2,0,Barcelona,,,"Enrique, Simão",,La Liga,la_liga
2001,Santiago Bernabéu Stadium,2001-03-03,2,2,Draw,,,"Rivaldo, Rivaldo","Raúl, Raúl",La Liga,la_liga
2001,Santiago Bernabéu Stadium,2001-11-04,0,2,Real Madrid,,,,"Morientes, Figo",La Liga,la_liga
2002,Camp Nou,2002-03-16,1,1,Draw,,,Xavi,Zidane,La Liga,la_liga
2002,Camp Nou,2002-04-23,0,2,Real Madrid,,,,"Zidane, McManaman",UEFA Championship,uefa
2002,Santiago Bernabéu Stadium,2002-05-01,1,1,Draw,Helguera,,,Raúl,UEFA Championship,uefa
2002,Camp Nou,2002-11-23,0,0,Draw,,,,,La Liga,la_liga
2003,Santiago Bernabéu Stadium,2003-04-19,1,1,Draw,,,Enrique,Ronaldo,La Liga,la_liga
2003,Camp Nou,2003-12-06,1,2,Real Madrid,,,Kluivert,"Carlos, Ronaldo",La Liga,la_liga
2004,Santiago Bernabéu Stadium,2004-04-25,2,1,Barcelona,,,"Kluivert, Xavi",Solari,La Liga,la_liga
2004,Camp Nou,2004-11-20,3,0,Barcelona,,,"o, Bronckhorst, Ronaldinho",,La Liga,la_liga
2005,Santiago Bernabéu Stadium,2005-04-10,2,4,Real Madrid,,,"o, Ronaldinho","Zidane, Ronaldo, Raúl, Owen",La Liga,la_liga
2005,Santiago Bernabéu Stadium,2005-11-19,3,0,Barcelona,,,"o, Ronaldinho, Ronaldinho",,La Liga,la_liga
2006,Camp Nou,2006-04-01,1,1,Draw,,,Ronaldinho,Ronaldo,La Liga,la_liga
2006,Santiago Bernabéu Stadium,2006-10-22,0,2,Real Madrid,,,,"Raúl, Nistelrooy",La Liga,la_liga
2007,Camp Nou,2007-03-10,3,3,Draw,,,"Messi, Messi, Messi","Nistelrooy, Nistelrooy, Ramos",La Liga,la_liga
2007,Camp Nou,2007-12-23,0,1,Real Madrid,,,,Baptista,La Liga,la_liga
2008,Santiago Bernabéu Stadium,2008-05-07,1,4,Real Madrid,,,Henry,"Raúl, Robben, Higuaín, Nistelrooy",La Liga,la_liga
2008,Camp Nou,2008-12-13,2,0,Barcelona,,,"o, Messi",,La Liga,la_liga
2009,Santiago Bernabéu Stadium,2009-05-02,6,2,Barcelona,,,"Henry, Henry, Puyol, Messi, Messi, Piqué","Higuaín, Ramos",La Liga,la_liga
2009,Camp Nou,2009-11-29,1,0,Barcelona,,,Ibrahimović,,La Liga,la_liga
2010,Santiago Bernabéu Stadium,2010-04-10,2,0,Barcelona,,,"Messi, Pedro",,La Liga,la_liga
2010,Camp Nou,2010-11-29,5,0,Barcelona,,,"Xavi, Pedro, Villa, Villa, Jeffrén",,La Liga,la_liga
2011,Santiago Bernabéu Stadium,2011-04-16,1,1,Draw,,,Messi,Ronaldo,La Liga,la_liga
2011,Mestalla Stadium,2011-04-20,0,1,Real Madrid,,,,Ronaldo,Copa Del Rey,copa_del_rey
2011,Santiago Bernabéu Stadium,2011-04-27,2,0,Barcelona,,,"Messi, Messi",,UEFA Championship,uefa
2011,Camp Nou,2011-05-03,1,1,Draw,,,Pedro,Marcelo,UEFA Championship,uefa
2011,Santiago Bernabéu Stadium,2011-08-14,2,2,Draw,,,"Villa, Messi","Özil, Alonso",Supercopa,supercopa
2011,Camp Nou,2011-08-17,3,2,Barcelona,,,"Iniesta, Messi, Messi","Ronaldo, Benzema",Supercopa,supercopa
2011,Santiago Bernabéu Stadium,2011-12-10,3,1,Barcelona,,,"Sánchez, Xavi, Fàbregas",Benzema,La Liga,la_liga
2012,Santiago Bernabéu Stadium,2012-01-18,2,1,Barcelona,,,"Puyol, Abidal",Ronaldo,Copa Del Rey,copa_del_rey
2012,Camp Nou,2012-01-25,2,2,Draw,,,"Pedro, Alves","Ronaldo, Benzema",Copa Del Rey,copa_del_rey
2012,Camp Nou,2012-04-21,1,2,Real Madrid,,,Sánchez,"Khedira, Ronaldo",La Liga,la_liga
2012,Camp Nou,2012-08-23,3,2,Barcelona,,,"Pedro, Xavi, Messi","Ronaldo, María",Supercopa,supercopa
